,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,v8.csv
bochs.csv,0.78,0.63,0.44,0.53,0.02,0.77
encog-java.csv,0.0,0.04,0.65,0.0,0.18,0.31
h2database.csv,0.27,0.0,0.29,0.1,0.01,0.23
jaql.csv,0.26,0.33,0.31,0.0,0.7,0.77
raven-monitoring.csv,0.52,0.4,0.0,0.48,0.88,0.85
v8.csv,0.41,0.43,0.31,0.31,0.92,0.0
