,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.2,0.43,0.19,1.0,0.21,0.04,0.6,0.21,0.1,0.29
arsenal-1.csv,0.74,0.48,0.93,0.0,0.24,0.2,0.2,0.34,0.07,0.29
barracudamvc.csv,1.0,0.96,1.0,0.91,0.89,0.96,0.93,0.55,0.98,0.91
irplus.csv,0.46,0.48,0.33,0.41,0.33,1.0,0.73,0.69,0.76,0.57
lite.csv,0.3,0.22,0.04,0.45,0.22,0.16,0.93,0.17,0.07,0.11
mevenide.csv,0.58,0.65,0.41,0.64,0.51,0.44,0.67,0.93,0.79,0.69
ontopia.csv,0.79,0.83,0.93,0.77,0.99,0.64,0.87,0.69,0.98,0.89
openintents.csv,0.16,0.91,0.41,0.64,0.32,0.48,0.47,0.41,0.33,0.26
ta3d.csv,0.73,0.91,0.96,0.95,0.74,0.6,0.67,0.9,0.69,0.97
tweetsharp.csv,0.6,0.48,0.81,0.86,0.46,0.64,0.8,0.66,0.98,0.6
