,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.81,0.62,0.82,0.0,0.9,0.97,0.43,0.8,0.91,0.72
arsenal-1.csv,0.84,0.67,0.07,1.0,0.91,0.81,0.82,0.73,0.93,0.73
barracudamvc.csv,0.0,0.91,1.0,0.97,0.65,1.0,1.0,1.0,0.93,0.94
irplus.csv,0.74,0.65,0.71,0.72,0.8,0.0,0.43,0.71,0.52,0.81
lite.csv,0.75,0.79,0.96,0.55,0.81,0.84,0.07,0.83,0.93,0.89
mevenide.csv,0.95,0.62,0.69,0.63,0.81,0.69,0.65,0.07,0.89,0.93
ontopia.csv,0.92,0.99,0.87,0.71,0.01,1.02,0.89,0.93,0.93,1.01
openintents.csv,0.95,0.09,0.79,0.38,0.69,0.6,0.57,0.88,0.7,0.75
ta3d.csv,0.94,0.76,1.0,0.84,0.69,0.73,0.87,0.8,0.74,0.03
tweetsharp.csv,0.64,0.62,0.92,0.88,0.54,0.67,0.85,0.76,0.07,0.85
