,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.75,0.56,0.88,0.45,0.64,0.83,0.5,0.79,0.8,0.55
arsenal-1.csv,0.32,0.44,0.56,0.0,0.6,0.9,0.91,0.58,0.67,0.58
barracudamvc.csv,0.37,0.29,0.36,0.34,0.38,0.34,0.36,0.49,0.4,0.45
irplus.csv,0.47,0.46,0.47,0.55,0.58,0.6,0.52,0.62,0.41,0.55
lite.csv,0.61,0.89,0.0,0.64,0.65,0.86,0.64,0.86,0.75,0.8
mevenide.csv,0.44,0.44,0.64,0.47,0.48,0.59,0.48,0.85,0.46,0.45
ontopia.csv,0.38,0.29,0.4,0.39,0.37,0.4,0.33,0.48,0.4,0.43
openintents.csv,0.85,0.5,0.44,0.53,0.88,0.68,0.73,0.69,0.65,0.7
ta3d.csv,0.35,0.33,0.37,0.32,0.4,0.4,0.47,0.51,0.41,0.44
tweetsharp.csv,0.51,0.68,0.42,0.35,0.67,0.51,0.37,0.54,0.45,0.55
