,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.33,0.49,0.29,1.0,0.33,0.06,0.58,0.28,0.17,0.43
arsenal-1.csv,0.78,0.46,0.96,0.0,0.36,0.29,0.23,0.3,0.13,0.43
barracudamvc.csv,1.0,0.59,0.64,0.56,0.89,0.52,0.4,0.26,0.85,0.78
irplus.csv,0.59,0.47,0.41,0.41,0.47,1.0,0.55,0.38,0.79,0.61
lite.csv,0.44,0.31,0.07,0.61,0.35,0.25,0.97,0.28,0.13,0.2
mevenide.csv,0.67,0.55,0.45,0.54,0.63,0.41,0.42,0.96,0.75,0.66
ontopia.csv,0.81,0.51,0.63,0.57,0.99,0.39,0.41,0.32,0.85,0.76
openintents.csv,0.26,0.93,0.41,0.72,0.48,0.48,0.47,0.24,0.47,0.4
ta3d.csv,0.77,0.61,0.62,0.61,0.79,0.45,0.34,0.42,0.72,0.99
tweetsharp.csv,0.71,0.49,0.57,0.56,0.62,0.48,0.39,0.35,0.98,0.62
