,empyrean.csv,amanda.csv,nutz.csv,pokeglobal.csv,jhotdraw.csv,unflobtactical.csv,cascading.csv,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,wikipediardware.csv,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv,mplayer-ce.csv,ng4j.csv,jmule.csv,qpe.csv,lmms.csv,yale.csv,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv,ifmo-game-1.csv,voms.csv,fm-classic.csv,foursquared.csv,micomt.csv,xpontus.csv,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv,biopax.csv,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,gogoego.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,snakeyaml.csv,impala.csv,dataobjectsdotnet.csv,loki-lib.csv,gnome-jabber.csv,chaosrts.csv,exl.csv
acegisecurity.csv,0.52,0.65,0.82,0.8,0.84,0.74,0.57,0.55,0.64,0.38,0.41,0.55,0.49,0.45,0.4,0.89,0.73,0.66,0.47,0.54,0.66,1.0,0.44,0.28,0.34,0.5,0.58,0.33,0.58,0.65,0.38,0.21,0.63,0.5,0.46,0.65,0.74,0.83,0.86,0.46,0.56,0.18,0.76,0.3,0.45,0.47,0.56,0.59,0.5,0.73,0.24,0.65,0.29,0.77,0.34,0.57,0.52,0.52,0.65,0.57,0.85,0.75,0.1,0.85,0.92,0.55,0.57,0.56,0.67,0.92,0.46,1.0,0.73,0.65,0.66,0.49,0.36,0.55,0.64,0.25,0.49,0.33,0.22,0.74,0.37,0.85,0.8,0.18,1.0,0.31,0.9,0.75,0.9,0.7,1.0,0.4,0.59,0.48,0.44,0.31,0.15,0.99,0.88
alsa.csv,0.68,0.69,0.72,0.68,0.79,0.69,0.74,0.52,0.95,0.19,0.62,0.64,0.97,0.47,0.62,0.84,0.77,0.79,0.58,0.6,0.81,1.0,0.93,0.5,0.97,0.9,0.75,0.72,0.81,0.74,0.0,1.0,0.64,0.58,0.62,0.73,0.54,0.9,0.75,0.67,0.88,0.85,0.96,0.5,0.85,0.61,0.75,0.85,0.5,0.89,1.0,0.7,0.79,0.85,0.64,0.73,0.84,0.68,0.9,0.9,0.85,0.75,0.3,0.9,0.5,0.49,0.71,0.22,1.0,0.96,0.77,1.0,0.69,0.82,0.87,0.67,0.72,0.36,0.6,0.75,0.67,1.0,0.59,0.84,0.55,0.72,0.6,0.83,1.0,0.65,0.87,0.8,0.7,0.65,1.0,0.9,0.67,0.48,0.58,0.45,0.28,0.86,0.9
amanda.csv,0.75,0.6,0.72,0.85,0.69,0.86,0.73,0.77,0.64,0.25,0.44,0.73,0.92,0.12,0.22,0.84,0.6,0.38,0.42,0.59,0.26,1.0,0.78,0.42,0.17,0.81,0.51,0.33,0.51,0.57,0.12,0.84,0.63,0.39,0.48,0.69,0.2,0.62,0.95,0.58,0.38,0.45,0.84,0.1,0.6,0.51,0.34,0.62,0.35,0.43,0.27,0.8,0.75,0.72,0.55,0.34,0.56,0.76,0.89,0.78,0.82,0.5,0.5,0.95,0.83,0.75,0.57,0.44,0.33,0.96,0.85,1.0,0.58,0.85,0.88,0.17,0.11,0.18,0.83,0.62,0.21,1.0,0.22,0.79,0.76,0.51,0.6,0.84,1.0,0.88,0.87,0.6,0.67,0.6,0.0,0.8,0.52,0.36,0.61,0.24,0.02,0.96,0.83
amateur-scrolls.csv,0.3,0.33,0.52,0.41,0.06,0.43,0.46,0.45,0.18,0.19,0.23,0.27,0.35,0.04,0.0,0.53,0.41,0.02,0.26,0.36,0.01,0.33,0.33,0.12,0.0,0.34,0.04,0.0,0.15,0.06,0.38,0.27,0.29,0.0,0.25,0.37,0.08,0.43,0.36,0.33,0.06,0.0,0.39,0.0,0.05,0.05,0.08,0.3,0.31,0.08,0.01,0.2,0.25,0.59,0.23,0.13,0.46,0.32,0.74,0.43,0.5,0.75,0.2,0.75,0.71,0.38,0.14,0.56,0.0,0.71,0.46,1.0,0.0,0.52,0.33,0.0,0.03,0.18,0.57,0.62,0.0,0.0,0.08,0.22,0.52,0.19,0.0,0.4,0.0,0.35,0.43,0.36,0.6,0.45,0.5,0.3,0.11,0.12,0.23,0.17,0.0,0.3,0.66
arcallians.csv,0.49,0.77,0.8,0.78,0.58,0.71,0.55,0.52,0.82,0.12,0.54,0.45,0.84,0.49,0.41,0.74,0.74,0.68,0.68,0.54,0.59,1.0,0.89,0.4,0.28,0.67,0.66,0.19,0.69,0.59,0.38,0.4,0.62,0.53,0.53,0.71,0.6,0.87,0.7,0.96,0.62,0.49,0.71,0.4,0.45,0.29,0.83,0.73,0.65,0.86,0.41,0.7,0.25,0.77,0.4,0.62,0.58,0.78,0.65,0.79,0.85,1.0,0.1,1.0,0.88,0.52,0.71,0.33,1.0,0.96,0.85,1.0,0.65,0.72,0.81,0.55,0.5,0.36,0.77,0.75,0.37,0.33,0.62,0.54,0.82,0.65,0.4,0.54,1.0,0.69,0.7,0.67,0.6,0.75,1.0,0.5,0.63,0.4,0.54,0.55,0.17,0.89,0.88
arianne.csv,0.88,0.98,1.0,0.8,1.0,0.94,0.98,1.0,0.55,1.0,0.9,0.73,0.89,0.98,0.87,1.0,0.9,1.0,0.79,0.95,0.9,1.0,0.63,0.89,0.55,0.92,0.88,1.0,0.8,0.67,1.0,0.87,0.91,0.95,0.66,0.89,0.88,0.86,0.93,0.5,0.81,0.92,0.82,0.65,1.0,0.96,0.88,0.95,0.5,0.89,0.91,0.9,0.71,0.79,0.91,0.97,0.78,0.86,0.85,0.86,0.94,0.75,0.7,0.95,0.92,0.86,0.86,1.0,1.0,0.96,0.69,1.0,0.96,0.92,0.91,0.91,0.97,1.0,0.94,0.12,0.89,1.0,0.89,1.0,0.77,1.0,1.0,0.96,1.0,0.65,1.0,0.92,1.0,0.95,1.0,1.0,0.89,1.0,0.5,0.97,0.9,0.93,0.9
aufs.csv,0.14,0.5,0.45,0.34,0.0,0.37,0.41,0.29,0.09,0.38,0.36,0.32,0.68,0.04,0.0,0.32,0.3,0.0,0.16,0.34,0.08,0.33,0.52,0.17,0.0,0.43,0.01,0.0,0.07,0.08,0.0,0.43,0.32,0.0,0.33,0.21,0.08,0.38,0.0,0.42,0.62,0.0,0.31,0.0,0.0,0.02,0.34,0.3,0.23,0.03,0.01,0.4,0.17,0.59,0.37,0.26,0.76,0.8,0.88,0.28,0.35,0.75,0.3,0.5,0.42,0.29,0.0,0.78,0.67,0.21,0.38,0.0,0.0,0.4,0.25,0.0,0.0,0.18,0.34,0.88,0.02,0.67,0.38,0.74,0.79,0.68,0.0,0.72,0.0,0.31,0.0,0.35,0.43,0.35,0.0,0.0,0.11,0.52,0.49,0.31,0.02,0.4,0.59
avifile.csv,0.45,0.37,0.54,0.15,0.4,0.46,0.3,0.48,0.45,0.5,0.54,0.82,0.32,0.98,0.78,0.21,0.02,0.79,0.63,0.44,0.87,0.67,0.37,0.53,0.24,0.67,0.86,0.56,0.44,0.71,0.12,0.45,0.13,0.45,0.78,0.4,0.68,0.83,0.05,0.71,0.31,0.32,0.51,0.65,0.85,0.58,0.99,0.54,0.42,0.32,0.67,0.5,0.33,0.46,0.63,0.54,0.6,0.86,0.24,0.28,0.53,0.25,0.6,0.65,0.71,0.66,0.71,0.56,0.33,0.29,0.92,0.0,0.88,0.5,0.54,0.78,0.39,0.18,0.36,0.12,0.95,0.0,0.68,0.42,0.58,0.11,1.0,0.07,0.0,0.54,0.07,0.45,0.63,0.95,1.0,0.6,0.74,0.28,0.49,0.93,0.75,0.49,0.46
aztec.csv,0.14,0.17,0.46,0.32,0.39,0.29,0.33,0.23,0.5,0.06,0.28,0.09,0.81,0.63,0.01,0.84,0.72,0.7,0.58,0.14,0.68,0.67,0.37,0.36,0.48,0.46,0.81,0.53,0.61,0.33,0.0,0.69,0.72,0.47,0.18,0.54,0.18,0.35,0.73,0.75,0.31,0.62,0.35,0.55,0.6,0.52,0.16,0.51,0.04,0.22,0.83,0.45,0.42,0.28,0.35,0.28,0.1,0.48,0.32,0.12,0.39,0.0,0.0,0.8,0.04,0.23,0.14,0.11,0.0,0.54,0.31,0.0,0.65,0.35,0.82,0.51,0.67,0.0,0.26,0.38,0.44,0.67,0.14,0.05,0.21,0.33,0.8,0.14,1.0,0.65,0.6,0.3,0.23,0.45,0.5,0.5,0.44,0.12,0.27,0.1,0.21,0.19,0.76
baadengine.csv,1.0,0.94,0.76,0.63,1.0,0.89,0.85,0.65,0.86,0.81,0.97,0.95,0.73,0.98,1.0,1.0,0.96,1.0,0.89,0.99,1.0,0.67,0.74,0.61,1.0,0.85,1.0,1.0,0.84,1.0,1.0,1.0,0.83,1.0,0.98,0.94,1.0,0.91,1.0,0.92,0.94,1.0,0.98,1.0,1.0,0.99,0.91,0.82,0.85,1.0,1.0,0.85,1.0,1.0,0.93,0.92,0.66,0.7,0.74,0.98,1.0,1.0,0.8,1.0,0.96,0.62,1.0,0.89,1.0,0.83,0.85,1.0,0.92,0.78,0.99,1.0,1.0,1.0,0.85,0.62,1.0,1.0,0.81,0.75,0.73,0.75,0.8,0.31,1.0,0.38,1.0,0.96,0.83,0.85,1.0,1.0,0.93,1.0,0.63,1.0,1.0,0.96,0.93
