,empyrean.csv,amanda.csv,nutz.csv,pokeglobal.csv,jhotdraw.csv,unflobtactical.csv,cascading.csv,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,wikipediardware.csv,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv,mplayer-ce.csv,ng4j.csv,jmule.csv,qpe.csv,lmms.csv,yale.csv,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv,ifmo-game-1.csv,voms.csv,fm-classic.csv,foursquared.csv,micomt.csv,xpontus.csv,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv,biopax.csv,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,gogoego.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,snakeyaml.csv,impala.csv,dataobjectsdotnet.csv,loki-lib.csv,gnome-jabber.csv,chaosrts.csv,exl.csv
acegisecurity.csv,0.57,0.44,0.56,0.59,0.75,0.43,0.58,0.72,0.4,0.79,0.77,0.59,0.63,0.6,0.6,0.54,0.64,0.52,0.72,0.63,0.6,0.87,0.6,0.74,0.89,0.62,0.61,0.69,0.57,0.57,0.7,0.79,0.57,0.66,0.6,0.63,0.6,0.35,0.74,0.56,0.47,0.82,0.51,0.74,0.57,0.7,0.61,0.66,0.54,0.46,0.77,0.58,0.72,0.49,0.68,0.56,0.5,0.55,0.48,0.66,0.62,0.55,0.96,0.78,0.79,0.65,0.77,0.6,0.64,0.59,0.54,0.81,0.4,0.45,0.41,0.56,0.65,0.52,0.51,0.8,0.59,0.92,0.83,0.72,0.68,0.61,0.79,0.85,0.59,0.77,0.7,0.69,0.9,0.65,0.83,0.69,0.59,0.86,0.67,0.71,0.85,0.95,0.63
alsa.csv,0.71,0.42,0.44,0.52,0.71,0.59,0.69,0.71,0.82,0.91,0.48,0.74,0.9,0.96,0.43,0.61,0.85,0.65,0.51,0.53,0.51,0.86,0.91,0.55,0.65,0.75,0.63,0.56,0.61,0.65,1.12,1.0,0.45,0.51,0.64,0.62,0.56,0.51,0.45,0.71,0.96,0.67,0.76,0.62,0.48,0.56,0.58,0.66,0.54,0.75,0.99,0.45,0.49,0.53,0.56,0.67,0.21,0.61,0.66,0.75,0.43,0.61,0.79,0.6,0.62,0.62,0.58,0.87,0.53,0.68,0.38,0.73,0.42,0.79,0.62,0.67,0.4,0.82,0.51,0.57,0.51,0.5,0.6,0.68,0.48,0.68,0.84,1.01,0.43,0.78,0.68,0.71,0.49,0.52,0.52,0.52,0.56,0.89,0.68,0.63,0.82,0.75,0.55
amanda.csv,0.49,0.44,0.61,0.87,0.64,0.45,0.61,0.78,0.52,0.8,0.59,0.68,0.78,0.9,0.78,0.65,0.91,0.64,0.61,0.62,0.74,0.76,0.96,0.64,0.86,0.76,0.57,0.71,0.55,0.69,0.94,0.73,0.53,0.64,0.66,0.54,0.8,0.43,0.85,0.69,0.82,0.58,0.88,0.9,0.43,0.59,0.69,0.64,0.69,0.69,0.74,0.67,0.67,0.45,0.56,0.78,0.9,0.67,0.86,0.53,0.63,0.65,0.95,0.72,0.71,0.58,0.49,0.83,0.8,0.96,0.66,0.41,0.44,0.78,0.67,0.83,0.89,1.02,0.74,0.71,0.79,0.66,0.8,0.8,0.74,0.6,0.8,1.01,0.49,0.86,0.73,0.69,0.61,0.5,1.06,0.55,0.73,0.81,0.6,0.77,0.98,0.9,0.56
amateur-scrolls.csv,0.79,0.69,0.67,0.72,0.94,0.59,0.65,0.63,0.84,0.85,0.77,0.8,0.69,0.96,1.0,0.51,0.6,0.98,0.74,0.65,0.99,0.86,0.74,0.88,1.01,0.74,0.96,1.0,0.86,0.94,0.65,0.73,0.75,1.0,0.8,0.65,0.92,0.58,0.64,0.67,1.07,1.0,0.76,1.0,0.95,0.95,0.92,0.74,0.7,0.92,0.99,0.87,0.77,0.48,0.78,0.91,0.74,0.68,0.69,0.59,0.54,0.39,0.91,0.41,0.45,0.66,0.86,0.52,1.08,0.6,0.55,0.26,1.0,0.56,0.68,1.0,0.97,0.82,0.63,0.74,1.0,1.0,0.92,0.81,0.5,0.82,1.04,0.78,1.06,0.78,0.58,0.76,0.65,0.57,0.5,0.72,0.9,0.9,0.79,0.83,1.0,0.87,0.35
arcallians.csv,0.71,0.52,0.54,0.63,0.6,0.39,0.6,0.65,0.72,0.91,0.61,0.64,0.56,0.79,0.6,0.56,0.83,0.55,0.54,0.55,0.5,0.81,0.69,0.64,0.99,0.53,0.6,0.81,0.58,0.54,0.71,0.61,0.51,0.59,0.66,0.58,0.48,0.3,0.4,0.91,0.98,0.56,0.7,0.69,0.56,0.75,0.64,0.56,0.49,0.81,0.66,0.58,0.75,0.5,0.66,0.57,0.44,0.43,0.56,0.45,0.62,0.4,0.92,0.72,0.7,0.62,0.56,0.73,0.65,0.78,0.26,0.61,0.48,0.47,0.6,0.51,0.52,0.73,0.7,0.7,0.65,0.68,0.64,0.57,0.4,0.5,0.75,0.68,0.65,0.72,0.61,0.64,0.43,0.71,0.46,0.55,0.57,0.89,0.68,0.54,0.83,0.8,0.48
arianne.csv,0.8,0.95,0.9,0.88,0.98,0.96,0.73,0.97,0.47,0.98,0.94,0.79,0.62,0.86,0.9,0.78,0.87,0.9,0.91,0.95,0.85,0.95,0.72,0.86,0.99,0.87,0.79,0.97,0.76,0.62,0.94,0.86,0.82,0.93,0.41,0.83,1.01,0.78,0.98,0.73,0.97,0.9,0.71,0.75,0.95,0.95,0.84,0.88,0.54,0.75,0.88,0.75,0.65,0.44,0.85,0.95,0.75,0.66,0.65,0.74,0.6,0.9,0.98,0.91,0.82,0.81,0.86,0.92,0.9,0.59,0.57,0.69,0.96,0.88,0.88,0.93,0.85,0.85,0.93,0.89,0.93,1.0,0.88,1.0,0.55,0.99,0.86,1.0,0.87,0.67,0.82,0.81,1.0,0.91,0.98,0.88,0.88,0.86,0.71,0.91,1.0,0.9,0.78
aufs.csv,0.97,0.57,0.91,0.93,1.0,0.67,0.78,0.78,0.95,0.86,0.71,0.8,0.41,0.96,1.0,0.69,0.81,1.0,0.85,0.7,0.92,0.84,0.68,0.85,1.0,0.83,0.99,1.0,0.94,0.92,1.0,0.62,0.73,1.0,0.8,0.79,0.92,0.64,1.0,0.59,0.98,1.0,0.83,1.0,1.0,0.98,0.83,0.75,0.77,0.97,0.99,0.82,0.88,0.51,0.67,0.85,1.03,0.89,0.87,0.75,0.65,0.43,0.83,0.6,0.61,0.73,1.0,0.67,0.65,0.99,0.62,1.05,1.0,0.68,0.76,1.0,1.0,0.82,0.76,0.94,0.99,0.75,0.77,0.92,0.83,1.04,1.04,0.57,1.12,0.85,1.0,0.84,0.99,0.78,1.0,1.0,1.02,0.67,0.68,0.72,0.98,0.8,0.62
avifile.csv,0.74,0.83,0.69,0.86,0.71,0.69,0.74,0.72,0.7,0.76,0.83,0.81,0.79,0.88,1.02,0.86,0.98,0.75,0.87,0.81,0.96,0.54,0.76,0.9,1.01,0.64,0.87,0.61,0.87,0.68,0.99,0.83,0.9,0.96,0.78,0.85,0.92,0.67,0.95,0.67,0.99,0.85,0.71,0.8,0.74,0.76,0.99,0.81,0.86,0.87,0.78,0.9,0.82,0.93,0.78,0.69,0.88,0.98,0.86,0.77,0.93,0.84,1.02,0.86,0.83,0.94,0.89,0.6,0.76,0.73,0.7,1.09,1.01,0.76,0.92,0.75,0.8,0.89,0.77,0.88,0.92,1.03,1.01,0.62,0.65,0.9,0.22,0.93,1.07,0.58,0.93,0.69,0.52,0.94,0.98,0.71,0.52,0.79,0.73,0.98,1.03,0.55,1.07
aztec.csv,0.86,0.83,0.57,0.7,0.67,0.74,0.67,0.84,0.55,0.94,0.75,0.91,0.87,0.71,0.99,0.69,0.81,0.51,0.49,0.86,0.52,0.5,0.71,0.68,0.86,0.59,0.74,0.61,0.51,0.75,1.03,0.55,0.61,0.68,0.85,0.67,0.83,0.65,0.59,0.32,0.76,0.51,0.72,0.63,0.52,0.6,0.85,0.56,0.96,0.79,0.84,0.61,0.59,0.72,0.66,0.73,0.9,0.53,0.7,0.88,0.73,1.02,1.0,0.58,0.96,0.78,0.9,0.91,1.0,0.6,0.72,1.01,0.51,0.71,0.42,0.57,0.38,1.0,0.75,0.65,0.64,0.35,0.87,0.95,0.81,0.7,0.57,1.14,0.26,0.75,0.56,0.72,0.77,0.62,0.74,0.5,0.58,0.92,0.76,0.9,0.82,0.81,0.46
baadengine.csv,1.0,0.94,0.43,0.5,1.0,0.89,0.6,0.47,0.49,0.92,0.94,0.82,0.7,1.0,1.0,0.92,0.97,1.0,0.98,0.89,1.0,0.76,0.58,0.46,0.98,0.64,1.0,1.0,0.71,1.0,0.98,1.0,0.75,1.0,0.89,0.95,0.95,0.75,1.0,0.97,0.6,1.0,0.76,1.0,0.98,1.0,0.71,0.65,0.83,1.0,1.0,0.76,0.86,0.96,0.92,0.75,0.4,0.56,0.54,0.93,0.8,0.88,0.98,0.78,0.91,0.61,1.0,0.56,0.99,0.61,0.81,0.85,0.84,0.83,0.92,1.0,1.0,0.92,0.95,0.52,1.0,0.86,0.76,0.61,0.61,0.31,0.93,1.02,0.78,0.76,1.0,0.85,0.62,0.68,0.96,0.95,0.55,0.97,0.77,1.0,1.0,0.74,0.62
bdbbasic.csv,0.68,0.63,0.62,0.83,0.78,0.6,0.67,0.64,0.71,0.89,0.66,0.64,0.61,0.9,0.87,0.35,0.95,0.53,0.52,0.62,0.6,0.41,0.7,0.58,0.69,0.79,0.79,0.69,0.56,0.87,0.87,0.71,0.47,0.97,0.82,0.49,0.86,0.58,0.58,0.76,0.78,0.7,0.56,0.85,0.72,0.79,0.73,0.6,0.49,0.55,0.69,0.62,0.85,0.45,0.64,0.9,1.03,0.66,0.86,0.57,0.49,0.5,0.69,0.54,0.6,0.68,0.65,0.79,0.63,0.81,0.7,1.07,0.81,0.79,0.46,0.89,0.92,0.74,0.72,0.96,0.64,0.51,0.5,0.97,0.48,0.7,0.94,1.0,0.82,0.75,0.6,0.86,0.78,0.67,1.0,0.53,0.82,0.71,0.67,0.58,0.92,0.65,0.35
bibedt.csv,0.71,0.68,0.69,0.58,0.72,0.58,0.63,0.6,0.49,0.94,0.6,0.63,0.61,0.94,0.65,0.5,0.87,0.5,0.63,0.51,0.62,0.77,0.9,0.76,1.0,0.62,0.67,0.73,0.6,0.56,0.92,0.74,0.67,0.55,0.61,0.6,0.71,0.35,0.4,0.96,0.85,0.56,0.7,1.0,0.28,0.63,0.67,0.57,0.64,0.84,0.64,0.42,0.73,0.54,0.66,0.82,0.93,0.65,0.57,0.43,0.35,0.43,0.89,0.65,0.59,0.78,0.75,0.33,0.78,0.6,0.55,1.08,0.49,0.75,0.58,0.72,0.65,0.83,0.72,0.55,0.63,1.0,0.74,0.66,0.48,0.88,0.89,1.1,0.47,0.65,0.57,0.66,0.47,0.51,0.53,0.42,0.89,0.81,0.74,0.53,0.93,0.58,0.48
biopax.csv,0.97,1.0,0.99,0.83,0.96,0.73,1.0,0.97,1.0,1.0,1.0,0.85,0.71,0.91,0.61,0.92,0.95,0.71,1.0,0.83,0.81,1.0,0.88,0.98,0.95,1.0,0.96,0.92,0.73,0.83,0.93,0.94,0.74,0.59,0.9,0.82,1.0,0.9,0.74,0.89,1.0,1.0,0.99,0.76,0.9,0.72,1.0,0.95,0.8,0.94,1.0,0.87,0.87,0.81,0.76,0.99,1.0,0.99,0.86,0.99,1.0,0.99,1.0,0.91,0.97,0.68,0.88,0.99,0.94,0.98,0.43,0.98,0.64,1.0,0.73,0.77,0.73,0.99,0.89,0.93,0.49,1.0,0.9,1.0,0.23,0.99,1.0,1.0,1.0,0.97,0.75,0.98,0.98,0.94,1.0,0.78,1.0,0.97,0.94,0.55,0.48,1.0,0.85
bl-toolkit.csv,0.82,0.88,0.47,0.52,0.82,0.81,0.77,0.88,0.99,0.61,0.9,0.72,0.99,0.96,1.0,1.0,1.0,0.99,0.85,0.77,1.0,0.71,0.62,0.87,1.0,0.62,0.99,0.97,0.86,1.0,1.03,0.84,1.0,0.86,0.78,0.96,0.29,0.96,1.0,0.99,0.58,1.0,0.84,1.0,1.0,1.0,0.86,0.8,1.0,0.98,1.0,1.0,0.9,0.84,0.85,0.72,0.64,0.77,0.81,0.69,0.71,0.7,0.98,0.92,0.79,0.84,0.97,0.56,0.75,0.93,0.98,0.63,1.0,0.71,1.0,1.0,0.85,1.0,0.99,0.7,1.0,1.02,0.69,0.56,0.92,0.74,0.87,1.08,0.57,0.81,1.0,0.58,0.46,0.69,0.77,1.0,0.58,0.83,0.83,0.98,1.0,0.57,0.9
cascading.csv,0.58,0.85,0.69,0.48,0.58,0.56,0.51,0.59,0.42,0.73,0.63,0.59,0.57,0.78,0.59,0.49,0.42,0.43,0.72,0.59,0.68,0.69,0.61,0.57,0.84,0.78,0.62,0.7,0.52,0.77,0.61,0.54,0.56,0.62,0.59,0.58,0.65,0.68,0.66,0.83,0.6,0.48,0.61,0.81,0.77,0.66,0.59,0.58,0.42,0.59,0.68,0.59,0.56,0.44,0.61,0.73,0.64,0.51,0.55,0.69,0.38,0.57,0.8,0.76,0.64,0.53,0.51,0.79,0.79,0.68,0.58,0.32,0.53,0.6,0.48,0.86,0.67,0.67,0.65,0.76,0.74,0.55,0.58,0.93,0.69,0.74,1.11,1.01,0.36,0.6,0.53,0.65,0.47,0.43,0.6,0.51,0.57,0.81,0.68,0.83,0.98,0.58,0.4
chaosrts.csv,0.75,0.71,0.47,0.63,0.86,0.76,0.66,0.77,0.42,0.57,0.63,0.95,1.0,1.0,1.0,1.0,1.0,1.0,0.83,0.71,1.0,0.61,0.62,0.71,1.0,0.59,0.73,1.0,0.99,1.0,1.01,0.73,1.0,1.0,0.7,0.69,0.67,0.55,1.0,0.44,0.71,1.0,0.84,1.0,1.0,1.0,0.58,0.78,0.77,1.0,1.0,0.66,0.91,0.77,0.7,0.64,0.6,0.71,0.79,0.55,0.66,0.5,1.04,0.77,0.94,0.78,0.75,0.68,0.63,0.85,0.52,1.13,1.0,0.64,0.86,1.0,1.0,0.74,0.64,0.76,1.0,1.0,0.86,0.67,0.9,0.66,1.0,0.95,1.05,0.68,1.0,0.66,0.62,0.84,0.69,0.73,0.63,0.83,0.69,0.87,1.0,0.32,0.63
