,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,aubit4gl.csv,pfaedit.csv,opensim4opencog.csv,jmol.csv,yaprm.csv,tktoolkit.csv,moving-pictures.csv,miranda-icq.csv,ipfilter.csv,zemljanka.csv,rockbox.csv
atlc.csv,0.7,0.8,0.53,0.73,0.81,0.85,0.27,0.78,0.71,0.75,0.65,0.74,0.79,0.9,0.78,0.64,0.59,0.75,0.71
aubit4gl.csv,0.95,0.77,0.37,0.93,0.67,0.93,0.98,1.0,0.47,0.87,0.89,0.88,0.75,0.88,0.69,0.79,0.8,0.92,0.9
ipfilter.csv,0.9,0.92,0.61,0.67,0.72,0.89,0.98,0.89,0.77,0.86,0.62,0.76,0.7,0.98,0.69,0.67,0.11,0.73,0.84
jmol.csv,0.86,0.68,0.98,0.62,0.84,0.75,0.43,0.63,0.65,0.97,0.73,0.53,0.95,0.84,0.65,1.0,0.89,0.61,0.55
liferea.csv,0.64,0.59,0.92,0.5,0.58,0.43,0.67,0.9,0.9,0.66,0.53,0.87,0.65,0.83,0.8,0.56,0.61,0.64,0.66
miranda-icq.csv,0.54,0.67,0.7,0.44,0.53,0.86,1.0,0.96,0.98,0.7,0.81,0.84,0.72,0.91,0.65,0.51,0.51,0.97,0.86
moving-pictures.csv,0.6,0.64,0.54,0.56,0.64,0.7,0.98,0.2,0.74,0.68,0.64,0.7,0.63,0.63,0.52,0.68,0.47,0.87,0.31
opensim4opencog.csv,0.56,0.4,0.92,0.56,0.55,0.48,0.61,0.64,0.85,0.83,0.51,0.89,0.78,0.67,0.58,0.63,0.62,0.5,0.4
pclasses.csv,0.54,0.32,1.01,0.64,0.86,0.92,1.0,1.02,0.96,0.96,0.58,0.82,0.93,0.96,0.72,1.0,1.01,0.98,0.74
pfaedit.csv,0.57,0.92,0.47,0.54,0.55,0.59,1.0,0.45,0.62,0.28,0.71,0.85,0.61,0.74,0.82,1.0,0.93,0.94,0.71
plearn.csv,0.47,0.44,0.94,0.78,0.64,1.0,1.0,0.58,0.96,1.0,0.68,0.87,0.7,1.0,0.84,1.0,0.71,0.97,0.77
psrchive.csv,0.51,0.76,0.35,0.72,0.39,0.75,0.77,0.48,0.72,0.69,0.73,0.89,0.69,0.75,0.65,0.81,0.61,0.74,0.71
re2c.csv,0.68,0.83,0.02,0.78,0.67,0.74,0.99,0.69,0.78,0.83,0.84,0.87,0.67,0.96,0.69,0.85,1.0,0.87,0.81
rockbox.csv,0.56,0.59,0.58,0.59,0.5,0.77,1.0,0.4,0.7,0.55,0.75,0.89,0.73,0.59,0.69,0.85,0.66,0.75,0.34
theresa.csv,0.56,0.87,0.76,0.5,0.45,0.54,0.81,0.24,0.68,0.44,0.75,0.53,0.67,0.77,0.66,0.73,0.74,0.65,0.74
tktoolkit.csv,0.88,0.87,0.39,0.9,0.65,0.98,0.93,1.0,0.78,0.67,0.78,0.66,0.69,0.5,0.59,0.86,0.56,0.78,0.79
tzod.csv,0.6,0.8,0.64,0.51,0.63,0.52,0.68,0.4,0.6,0.56,0.57,0.66,0.64,0.93,0.89,0.55,0.59,0.61,0.82
yaprm.csv,0.52,0.66,0.85,0.65,0.59,0.92,0.98,0.41,0.63,0.67,0.71,0.68,0.53,0.67,0.8,0.92,0.87,0.73,0.7
zemljanka.csv,0.87,0.72,0.94,0.62,0.83,0.97,0.73,0.58,0.8,0.78,0.94,0.94,0.82,0.88,0.97,0.82,0.95,0.21,0.79
