,vapor.csv,zscreen.csv,autoopencas.csv,mbse.csv,avisynth2.csv,lportal.csv,les-indemodables.csv,simplewebservices.csv,mplayer-ce.csv
autoopencas.csv,0.36,0.35,1.0,0.0,0.0,0.05,0.0,0.14,0.0
avisynth2.csv,0.0,0.04,0.0,0.0,1.0,0.03,0.1,0.0,0.0
les-indemodables.csv,0.42,0.46,0.22,0.36,0.0,0.11,1.0,0.57,0.45
lportal.csv,0.31,0.45,0.46,0.08,0.0,0.96,0.29,0.3,0.25
mbse.csv,0.38,0.51,0.46,0.97,0.13,0.09,0.42,0.44,0.45
mplayer-ce.csv,0.42,0.68,0.43,0.36,0.06,0.08,0.51,0.56,1.0
simplewebservices.csv,0.35,0.67,0.5,0.43,0.05,0.12,0.53,1.0,0.61
vapor.csv,1.0,0.16,0.33,0.33,0.0,0.07,0.42,0.16,0.29
zscreen.csv,0.5,1.0,0.42,0.4,0.06,0.1,0.56,0.58,0.62
