,vapor.csv,zscreen.csv,autoopencas.csv,mbse.csv,avisynth2.csv,lportal.csv,les-indemodables.csv,simplewebservices.csv,mplayer-ce.csv
autoopencas.csv,0.48,0.37,0.0,0.0,0.02,0.52,0.0,0.03,0.0
avisynth2.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
les-indemodables.csv,0.34,0.15,0.37,0.67,0.31,0.39,0.0,0.2,0.42
lportal.csv,0.63,0.7,0.5,0.06,0.0,0.0,0.52,0.43,0.19
mbse.csv,0.62,0.89,0.52,0.01,0.42,0.49,0.35,0.44,0.27
mplayer-ce.csv,0.99,1.0,0.9,0.97,0.94,0.97,0.88,0.92,0.0
simplewebservices.csv,0.59,0.81,0.72,0.83,0.61,0.38,0.8,0.0,0.91
vapor.csv,0.0,0.0,0.13,0.16,0.03,0.66,0.12,0.11,0.17
zscreen.csv,0.54,0.0,0.99,1.0,0.95,0.73,0.78,0.81,1.0
