,autofac.csv,mobicents.csv,snakeyaml.csv,chrysalis.csv,xamj.csv
autofac.csv,0.76,0.66,0.38,0.18,0.5
chrysalis.csv,0.47,0.61,0.23,0.58,0.49
mobicents.csv,0.5,0.68,0.3,0.43,0.56
snakeyaml.csv,0.42,0.57,0.46,0.07,0.54
xamj.csv,0.48,0.47,0.43,0.32,0.63
