,autofac.csv,mobicents.csv,snakeyaml.csv,chrysalis.csv,xamj.csv
autofac.csv,0.81,0.56,0.24,0.13,0.37
chrysalis.csv,0.5,0.51,0.14,0.45,0.34
mobicents.csv,0.52,0.69,0.23,0.31,0.44
snakeyaml.csv,0.89,0.63,0.36,0.33,0.56
xamj.csv,0.57,0.65,0.35,0.31,0.58
