,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.42,0.61,0.83,0.83,0.75,0.75,0.77,0.86,0.52,0.69,0.61,0.77,0.05,0.52,0.85,0.5,0.63
amygdala.csv,0.51,0.68,0.73,1.0,0.88,0.77,0.63,0.79,0.72,1.0,0.76,0.05,0.81,0.66,0.67,0.77,0.88
awemud.csv,0.01,0.62,0.82,0.42,0.6,0.73,0.5,0.58,0.75,1.0,0.71,0.79,0.41,0.57,0.56,0.65,0.67
bullet.csv,0.82,0.78,0.94,0.42,0.62,0.05,0.8,0.72,0.69,1.01,0.91,0.79,0.73,0.78,0.82,1.03,0.91
customwars.csv,0.83,0.83,0.92,0.74,0.87,0.86,0.77,0.47,0.84,0.58,0.0,0.85,0.64,0.75,0.78,0.42,0.7
dvd-create.csv,0.95,0.83,0.74,0.92,0.17,0.65,1.0,0.62,0.7,0.73,0.8,0.75,0.88,0.7,0.82,0.88,0.85
gbif-indexingtoolkit.csv,0.83,0.94,0.65,1.0,0.97,0.86,0.82,0.09,0.78,1.0,0.56,1.01,0.82,0.84,0.74,0.57,0.72
go.csv,0.76,0.03,0.6,0.91,0.61,0.5,0.65,0.83,0.73,0.62,0.83,0.62,0.69,0.62,0.87,0.43,0.54
growl-for-windows.csv,0.51,0.51,0.89,0.89,0.82,0.76,0.64,0.67,0.54,0.51,0.66,0.61,0.68,0.61,0.75,0.0,0.59
kwave.csv,0.56,0.68,0.0,0.78,0.53,0.65,0.68,0.68,0.64,0.62,0.61,0.62,0.72,0.63,0.54,0.7,0.64
libarchive.csv,0.47,0.47,0.85,0.41,0.71,0.62,0.56,0.68,0.37,0.69,0.78,0.57,0.49,0.62,0.62,0.37,0.08
linux-ntfs.csv,0.66,0.81,0.81,0.79,0.76,0.66,0.7,0.46,0.21,1.04,0.5,0.8,0.77,0.84,0.0,0.89,0.5
lsb.csv,0.67,0.58,0.84,0.24,0.54,0.55,0.99,0.64,0.48,1.0,0.93,0.66,0.67,0.75,0.79,0.95,0.51
mpgravity.csv,0.53,0.67,0.85,0.77,0.72,0.84,0.54,0.69,0.68,0.0,0.63,0.82,0.64,0.62,0.5,0.35,0.62
qcad2.csv,0.69,0.85,0.67,0.69,0.9,0.88,0.02,0.48,0.84,0.91,0.52,0.84,0.73,0.7,0.63,0.76,0.75
qtwin.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
roller.csv,0.69,0.57,0.67,0.9,0.7,0.82,0.56,0.77,0.62,0.54,0.61,0.58,0.48,0.05,0.61,0.63,0.55
