,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.74,0.54,0.21,0.21,0.4,0.4,0.31,0.18,0.01,0.31,0.3,0.35,0.96,0.64,0.26,0.65,0.51
amygdala.csv,0.72,0.47,0.29,0.0,0.21,0.41,0.48,0.21,0.01,0.0,0.2,0.97,0.25,0.5,0.5,0.39,0.21
awemud.csv,0.99,0.55,0.23,0.58,0.63,0.59,0.55,0.34,0.0,0.0,0.29,0.36,0.59,0.6,0.59,0.52,0.43
bullet.csv,0.77,0.78,0.27,0.57,0.87,0.99,0.5,0.33,0.01,0.32,0.22,0.65,0.46,0.64,0.45,0.57,0.56
customwars.csv,0.29,0.3,0.18,0.3,0.4,0.5,0.3,0.42,0.01,0.56,1.0,0.26,0.42,0.39,0.33,0.72,0.41
dvd-create.csv,0.77,0.76,0.39,0.31,0.98,0.8,0.5,0.34,0.01,0.37,0.24,0.71,0.28,0.59,0.6,0.54,0.57
gbif-indexingtoolkit.csv,0.29,0.23,0.39,0.33,0.12,0.32,0.28,0.95,0.0,0.0,0.39,0.0,0.24,0.27,0.38,0.61,0.43
go.csv,0.77,0.99,0.38,0.21,0.69,0.75,0.55,0.28,0.01,0.4,0.23,0.67,0.37,0.77,0.62,0.76,0.62
growl-for-windows.csv,0.77,0.7,0.25,0.29,0.62,0.69,0.5,0.35,0.01,0.55,0.32,0.61,0.49,0.68,0.62,1.0,0.55
kwave.csv,0.74,0.72,1.0,0.34,0.73,0.58,0.44,0.28,0.01,0.36,0.29,0.54,0.4,0.53,0.6,0.48,0.66
libarchive.csv,0.72,0.73,0.24,0.64,0.66,0.6,0.49,0.32,0.01,0.33,0.23,0.56,0.56,0.73,0.54,0.79,0.96
linux-ntfs.csv,0.54,0.44,0.24,0.26,0.44,0.61,0.39,0.44,0.03,0.06,0.35,0.39,0.43,0.38,1.0,0.52,0.6
lsb.csv,0.83,0.78,0.28,0.84,0.82,0.84,0.49,0.33,0.01,0.0,0.26,0.64,0.5,0.75,0.59,0.78,0.62
mpgravity.csv,0.65,0.53,0.24,0.28,0.61,0.63,0.56,0.28,0.01,1.0,0.3,0.35,0.48,0.56,0.68,0.78,0.51
qcad2.csv,0.52,0.74,0.33,0.33,0.85,0.23,0.98,0.41,0.01,0.17,0.38,0.32,0.41,0.44,0.52,0.71,0.56
qtwin.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roller.csv,0.53,0.68,0.34,0.35,0.72,0.31,0.51,0.22,0.01,0.46,0.31,0.59,0.56,0.97,0.62,0.66,0.65
