,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.07,0.0,0.05,0.03,0.05,0.02,0.08,0.0,0.0,0.0
flylegacy.csv,0.88,0.55,0.68,0.62,0.68,0.79,0.92,0.77,0.93,0.37
jguard.csv,0.74,0.25,0.59,0.63,0.51,0.14,0.89,0.54,0.9,0.29
m-a-d-n-e-s-s.csv,0.05,0.0,0.18,0.09,0.02,0.05,0.05,0.0,0.05,0.08
mob-sen-plat.csv,0.74,0.3,0.73,0.53,0.63,0.82,0.49,0.69,0.55,0.45
raygina.csv,0.21,0.0,0.45,0.14,0.05,0.25,0.34,0.08,0.22,0.03
st-filteredstatistics.csv,0.88,0.2,0.68,0.66,0.78,0.3,0.87,0.69,0.58,0.74
upp-mirror.csv,0.49,0.05,0.64,0.27,0.56,0.3,0.36,0.62,0.35,0.58
wishmaster.csv,0.07,0.0,0.14,0.09,0.17,0.48,0.05,0.31,0.17,0.18
yarp.csv,0.09,0.0,0.23,0.06,0.1,0.32,0.16,0.23,0.08,0.13
