,owlib.csv,xharbour.csv,prelude.csv,graphmak.csv,octave.csv,checker-framework.csv,zengine.csv,zildo.csv,opengs.csv,tokratan.csv,jmol.csv,minig.csv,moving-pictures.csv,zabbix.csv,xfce.csv,ngl.csv,mesa3d.csv,nunit.csv,elvishrayrenderer.csv
checker-framework.csv,0.77,0.11,0.0,0.93,0.14,0.18,0.17,0.73,0.84,0.88,0.7,0.81,0.71,0.91,0.34,0.61,0.48,0.79,0.72
elvishrayrenderer.csv,0.42,0.95,1.0,0.46,0.54,0.34,0.42,0.57,0.53,0.46,0.48,0.29,0.81,0.13,0.91,0.49,0.65,0.36,0.28
graphmak.csv,0.49,0.0,0.18,0.2,0.81,0.05,0.0,0.36,0.38,0.48,0.39,0.58,0.84,0.87,0.0,0.52,0.04,0.07,0.72
jmol.csv,0.81,1.0,0.27,0.91,0.58,0.86,0.5,0.98,0.7,0.91,0.43,0.94,0.94,0.65,0.45,0.76,0.94,0.87,0.72
mesa3d.csv,0.27,0.32,0.0,0.09,0.3,0.3,0.0,0.48,0.4,0.56,0.26,0.25,0.32,0.53,0.45,0.48,0.28,0.19,0.61
minig.csv,0.96,0.79,1.0,0.43,0.86,0.32,1.0,0.27,0.18,0.21,1.0,0.28,1.0,0.77,0.81,0.91,0.61,0.37,0.94
moving-pictures.csv,0.1,0.26,0.0,0.17,0.26,0.29,0.0,0.77,0.58,0.7,0.22,0.43,0.32,0.03,0.0,0.28,0.01,0.47,0.5
ngl.csv,0.68,0.95,0.82,0.5,0.31,0.82,0.33,0.64,0.68,0.52,0.78,0.58,0.71,0.97,0.03,0.32,0.04,0.65,0.67
nunit.csv,0.56,0.63,0.91,0.39,0.78,0.52,1.0,0.7,0.56,0.31,0.83,0.42,0.77,0.05,0.13,0.64,0.12,0.3,0.39
octave.csv,0.44,0.47,0.0,0.15,0.17,0.38,0.42,0.2,0.65,0.08,0.3,0.23,0.42,0.04,0.17,0.2,0.09,0.3,0.28
opengs.csv,0.37,0.37,0.0,0.54,0.09,0.12,0.25,0.5,0.29,0.4,0.22,0.68,0.45,0.74,0.39,0.11,0.55,0.47,0.44
owlib.csv,0.26,0.58,0.09,0.5,0.46,0.25,0.42,0.43,0.62,0.32,0.57,0.27,0.58,0.43,0.39,0.36,0.49,0.51,0.56
prelude.csv,0.99,1.0,0.18,1.0,0.91,0.73,0.5,0.93,0.79,0.9,1.0,0.8,0.9,0.94,0.65,0.93,0.74,0.84,0.83
tokratan.csv,0.5,0.74,0.0,0.78,0.08,0.16,0.33,0.52,0.04,0.22,0.35,0.41,0.39,0.1,0.47,0.44,0.7,0.48,0.39
xfce.csv,0.5,0.32,0.0,0.85,0.45,0.34,0.5,0.86,0.68,0.55,0.7,0.52,0.74,0.92,0.39,0.82,0.57,0.58,0.78
xharbour.csv,0.98,0.11,0.45,0.72,0.51,0.46,0.75,0.68,0.97,0.73,1.0,0.78,0.42,0.76,0.68,0.87,0.89,0.58,0.61
zabbix.csv,0.43,0.21,0.27,0.48,0.4,0.77,0.0,0.84,0.57,0.45,0.35,0.72,0.23,0.22,0.43,0.69,0.81,0.75,0.61
zengine.csv,0.99,0.74,0.64,1.0,0.99,0.88,0.0,0.86,0.92,1.0,0.91,0.95,1.0,0.85,0.7,0.93,0.57,0.87,1.0
zildo.csv,0.71,1.0,0.09,0.89,0.26,0.29,0.17,0.23,0.06,0.21,0.43,0.2,0.23,0.52,0.38,0.15,0.55,0.28,0.72
