,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,galaxium.csv,runuomondains.csv,somap.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv
algebsql.csv,0.69,0.51,0.86,0.7,0.68,0.42,0.06,0.95,0.83,0.98,0.88,0.9,0.97,0.82,1.01,0.97
galaxium.csv,0.93,0.89,0.84,1.01,0.94,1.02,0.87,0.96,0.87,0.03,0.45,1.02,0.7,0.88,0.6,0.63
hydrate.csv,0.85,0.91,0.84,0.74,0.82,1.02,0.94,0.95,0.78,0.56,0.49,0.83,0.74,0.82,0.8,0.03
ivef-sdk.csv,0.61,0.47,0.68,0.7,0.79,0.0,0.98,1.0,0.77,0.94,1.0,1.08,0.66,0.93,1.06,0.97
jmri.csv,0.88,1.01,0.04,0.69,0.76,0.4,0.94,1.09,1.0,0.89,0.86,0.55,0.58,0.96,0.75,0.72
jython.csv,0.85,0.86,0.69,0.62,0.89,0.44,0.95,0.0,0.96,0.85,0.94,1.0,0.68,0.78,1.0,0.77
kdenlive.csv,0.04,0.47,0.55,0.86,0.77,0.64,0.71,0.25,0.39,0.52,0.73,0.54,0.7,0.75,0.81,0.75
ninject.csv,0.92,0.97,0.73,1.0,0.96,0.96,0.97,1.15,0.9,0.87,0.64,1.02,0.97,0.93,0.0,0.85
ondex.csv,0.88,0.93,0.77,0.97,0.73,0.66,1.1,0.27,0.74,0.81,0.6,0.56,0.03,0.88,0.69,0.76
opentibia.csv,0.82,0.0,0.83,1.0,0.73,0.35,0.58,1.06,0.83,0.72,0.88,0.73,0.82,0.54,0.74,0.74
runuomondains.csv,0.83,0.84,0.97,0.76,0.89,0.55,1.0,0.73,0.93,0.81,0.12,0.89,0.94,0.98,0.83,0.7
somap.csv,1.0,1.0,0.98,1.0,0.98,1.0,0.97,1.0,1.0,0.97,1.0,0.17,0.97,1.0,0.91,1.0
taverna.csv,0.96,0.82,0.91,0.77,0.04,0.99,0.8,1.0,0.95,0.98,1.01,0.88,0.89,0.88,0.86,1.0
tigermud.csv,0.78,0.86,0.86,1.0,0.62,1.0,0.54,0.38,0.97,0.81,0.82,0.79,0.81,0.21,0.88,0.68
unbvision.csv,0.65,0.8,0.94,0.54,0.93,0.57,0.92,1.02,0.13,0.47,0.63,0.85,0.7,0.65,0.64,0.88
x-ray-mule.csv,0.59,0.61,0.75,0.15,0.84,0.81,0.84,0.38,0.94,0.71,0.66,1.03,0.83,0.67,0.98,0.75
