,jfreereport.csv,arcallians.csv,acegisecurity.csv,gebr.csv,amateur-scrolls.csv,kml.csv,multitude.csv
acegisecurity.csv,0.59,0.65,0.62,0.43,0.71,0.41,0.54
amateur-scrolls.csv,0.33,0.17,0.57,0.0,0.73,0.0,0.36
arcallians.csv,0.66,0.75,0.72,0.55,0.59,0.77,0.58
gebr.csv,0.05,0.0,0.0,0.71,0.17,0.64,0.58
jfreereport.csv,0.45,0.21,0.26,0.15,0.66,0.36,0.17
kml.csv,0.05,0.0,0.0,0.62,0.51,0.76,0.56
multitude.csv,0.64,0.53,0.63,0.75,0.73,0.69,0.7
