,campsoft.csv,beast-mcmc.csv,array4j.csv,continuum-ide.csv,jam-daq.csv,anaxagora.csv,nodal.csv,projectfactory.csv,roolo.csv,l2j.csv
anaxagora.csv,0.01,0.31,0.22,0.36,0.55,0.38,0.18,0.47,0.25,0.83
array4j.csv,0.02,0.24,0.29,0.33,0.21,0.26,0.26,0.51,0.12,0.88
beast-mcmc.csv,0.01,0.53,0.17,0.37,0.54,0.25,0.45,0.58,0.31,0.71
continuum-ide.csv,0.0,0.44,0.33,0.54,0.42,0.24,0.33,0.5,0.43,0.87
jam-daq.csv,0.03,0.63,0.25,0.27,0.67,0.23,0.5,0.54,0.36,0.87
l2j.csv,0.01,0.27,0.11,0.35,0.5,0.18,0.28,0.5,0.36,0.85
nodal.csv,0.0,0.3,0.28,0.31,0.33,0.18,0.5,0.39,0.29,0.76
projectfactory.csv,0.0,0.28,0.23,0.33,0.52,0.17,0.32,0.55,0.32,0.8
roolo.csv,0.01,0.29,0.23,0.31,0.47,0.15,0.18,0.46,0.62,0.72
