,qtractor.csv,quarkplayer.csv,open-data-kit.csv,zoolib.csv,google-web-toolkit.csv,fmri-dmt.csv
fmri-dmt.csv,0.04,0.09,0.03,0.16,0.01,0.83
google-web-toolkit.csv,0.32,0.45,0.34,0.19,0.99,0.5
open-data-kit.csv,0.57,0.73,0.97,0.77,0.43,0.33
qtractor.csv,0.96,0.64,0.45,0.32,0.45,0.5
quarkplayer.csv,0.11,0.91,0.18,0.35,0.23,0.0
zoolib.csv,0.25,0.18,0.09,0.68,0.13,0.0
