,flylinkdc.csv,dvt.csv,rtb-team.csv,utgb.csv,unimrcp.csv,jsr308-langtools.csv,stemkit.csv,carabiner.csv,buddata-ebxml-registry.csv
buddata-ebxml-registry.csv,0.95,1.0,1.0,0.97,0.96,0.97,1.0,0.95,0.91
carabiner.csv,0.78,0.69,0.87,0.71,0.41,0.23,0.5,0.64,0.25
dvt.csv,0.7,0.67,0.0,0.14,0.48,0.0,0.83,0.27,0.48
flylinkdc.csv,0.73,0.88,1.0,0.77,0.81,0.87,0.33,0.82,0.48
jsr308-langtools.csv,0.0,0.07,0.8,0.86,0.93,0.93,1.0,1.0,0.73
rtb-team.csv,0.32,0.19,0.8,0.23,0.04,0.0,0.0,0.27,0.48
stemkit.csv,0.35,0.17,0.4,0.31,0.15,0.43,0.67,0.18,0.31
unimrcp.csv,0.62,0.69,0.47,0.54,0.67,0.67,0.33,0.5,0.54
utgb.csv,0.46,0.31,0.33,0.74,0.81,0.07,0.33,0.27,0.3
