,sqlpower-library.csv,jlinalg.csv,array4j.csv,optalgtoolkit.csv,capcode.csv,freenet.csv,intact.csv,pustefix.csv,nassp.csv,fm-classic.csv,haphazard.csv,anaxagora.csv,ipfire-wall.csv,tart.csv,super-tux.csv,soar.csv,hannosset.csv,bzbyte.csv,ondex.csv,web-cat.csv
anaxagora.csv,0.79,0.57,0.8,0.93,0.58,1.0,0.83,0.5,1.0,0.68,0.71,0.67,0.79,1.0,0.69,1.0,0.99,0.77,1.0,1.0
array4j.csv,0.98,0.52,0.69,0.85,0.75,0.93,0.7,0.84,0.95,1.01,0.74,0.9,0.86,1.09,0.93,0.97,0.63,0.92,0.8,0.94
bzbyte.csv,0.9,1.0,1.0,1.0,0.61,0.89,0.99,1.0,1.0,1.0,0.86,0.92,0.69,0.85,1.0,0.97,1.0,0.45,1.0,0.9
capcode.csv,0.89,0.98,0.85,0.88,0.42,0.98,0.83,0.89,1.0,0.89,0.84,0.76,0.9,1.02,0.94,1.0,0.58,0.95,1.0,1.0
fm-classic.csv,1.0,0.46,0.87,0.66,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,1.0,1.0,1.0
freenet.csv,1.0,1.0,1.0,1.0,1.0,0.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0
hannosset.csv,1.0,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33,1.0,1.0,1.0
haphazard.csv,0.82,0.83,1.0,1.0,0.78,0.98,0.75,0.81,0.87,1.03,0.62,0.84,0.86,0.67,0.94,0.87,0.84,0.76,0.98,0.7
intact.csv,1.0,0.96,0.94,0.95,1.0,0.86,0.51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ipfire-wall.csv,1.0,0.72,1.0,0.85,0.92,0.72,0.97,1.0,0.63,0.71,0.74,0.83,0.23,0.43,0.9,0.99,1.0,0.8,0.77,0.8
jlinalg.csv,1.0,0.15,0.83,0.87,1.0,1.0,0.97,1.0,1.0,0.67,1.0,1.0,1.0,1.0,1.0,1.0,0.51,1.0,1.0,1.0
nassp.csv,1.0,1.0,0.98,1.0,0.94,0.86,1.0,1.0,0.34,0.99,0.96,0.92,0.95,1.0,1.0,0.68,1.0,1.0,1.0,0.92
ondex.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
optalgtoolkit.csv,0.83,0.73,0.98,0.25,0.77,0.99,0.78,0.75,1.0,0.66,0.98,0.94,1.0,0.98,0.61,0.96,0.82,0.9,1.0,1.0
pustefix.csv,0.96,0.57,0.95,1.01,0.73,1.0,0.91,0.61,1.0,0.87,0.63,1.0,1.0,1.0,1.01,1.0,0.95,0.9,1.0,1.0
soar.csv,0.7,0.98,1.0,1.01,0.93,0.98,0.91,0.89,1.0,1.04,0.7,0.91,0.92,1.01,0.89,0.37,1.0,0.85,0.99,0.88
sqlpower-library.csv,0.36,0.75,0.83,0.66,0.76,0.99,0.6,0.81,1.0,0.85,0.74,0.6,0.92,0.91,0.33,0.96,0.61,1.02,1.0,0.87
super-tux.csv,0.53,0.64,0.89,0.9,0.81,0.66,0.75,1.0,0.72,0.85,0.86,0.82,1.0,0.98,0.6,0.81,1.0,0.95,0.85,0.61
tart.csv,1.0,0.82,0.94,0.95,1.01,0.89,1.0,1.0,0.75,1.01,0.85,0.81,0.89,1.0,0.98,0.92,0.84,0.97,0.94,0.95
web-cat.csv,0.98,0.94,0.94,0.85,0.92,0.96,0.97,0.97,0.79,1.0,0.92,1.0,0.62,0.6,0.81,0.96,1.02,0.82,0.97,0.2
