,sqlpower-library.csv,jlinalg.csv,array4j.csv,optalgtoolkit.csv,capcode.csv,freenet.csv,intact.csv,pustefix.csv,nassp.csv,fm-classic.csv,haphazard.csv,anaxagora.csv,ipfire-wall.csv,tart.csv,super-tux.csv,soar.csv,hannosset.csv,bzbyte.csv,ondex.csv,web-cat.csv
anaxagora.csv,0.83,0.86,0.2,0.32,0.19,0.0,0.21,0.42,0.0,0.06,0.22,0.88,0.44,0.0,0.97,0.0,0.08,0.82,0.0,0.0
array4j.csv,0.67,0.96,0.5,0.29,0.13,0.74,0.29,0.27,0.08,0.0,0.24,0.09,0.27,0.0,0.93,0.5,0.1,0.71,0.15,0.19
bzbyte.csv,0.65,0.78,0.2,0.38,0.2,0.81,0.29,0.27,0.0,0.04,0.2,0.12,0.37,0.04,0.95,1.0,0.08,0.87,0.0,0.4
capcode.csv,1.0,0.73,0.19,0.35,0.78,1.0,0.25,0.23,0.0,0.02,0.15,0.15,0.19,0.0,0.93,0.0,0.12,0.75,0.0,0.0
fm-classic.csv,0.0,0.93,0.14,0.41,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0
freenet.csv,0.73,0.78,0.2,0.38,0.14,0.72,0.29,0.27,0.21,0.04,0.2,0.16,0.33,0.05,0.95,0.56,0.08,0.76,0.17,0.38
hannosset.csv,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
haphazard.csv,0.69,0.82,0.0,0.0,0.16,0.65,0.29,0.21,0.22,0.0,0.71,0.12,0.22,0.07,1.0,0.43,0.1,0.74,0.17,0.38
intact.csv,0.0,1.0,0.5,1.0,0.0,0.87,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ipfire-wall.csv,0.0,0.93,0.0,0.5,0.07,0.67,1.0,0.0,0.24,0.06,0.24,0.17,0.88,0.18,1.0,0.49,0.0,0.7,0.18,0.57
jlinalg.csv,0.0,0.96,0.21,0.29,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0
nassp.csv,0.73,0.78,0.21,0.38,0.15,0.84,0.29,0.27,0.8,0.04,0.21,0.17,0.31,0.05,0.95,0.57,0.08,0.76,0.0,0.36
ondex.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optalgtoolkit.csv,0.75,0.83,0.21,0.79,0.17,0.66,0.3,0.3,0.21,0.06,0.15,0.16,0.33,0.05,0.97,0.56,0.07,0.76,0.17,0.38
pustefix.csv,0.5,0.86,0.08,0.35,0.14,0.0,0.23,0.82,0.0,0.04,0.24,0.0,0.0,0.0,0.86,0.0,0.05,0.75,0.0,0.0
soar.csv,0.73,1.0,0.0,0.0,0.09,0.64,0.16,0.2,0.21,0.0,0.44,0.08,0.18,0.02,0.93,0.76,0.0,0.71,0.17,0.31
sqlpower-library.csv,0.88,0.87,0.2,0.54,0.16,0.65,0.38,0.28,0.21,0.05,0.2,0.21,0.35,0.06,0.99,0.56,0.11,0.72,0.17,0.41
super-tux.csv,0.83,0.81,0.19,0.39,0.15,0.71,0.32,0.27,0.24,0.05,0.2,0.18,0.33,0.05,0.97,0.47,0.08,0.75,0.18,0.44
tart.csv,0.0,0.9,0.2,0.5,0.0,0.71,0.0,0.0,0.5,0.0,0.4,0.4,0.4,0.0,1.0,0.48,0.2,0.45,0.33,1.0
web-cat.csv,1.0,1.0,0.12,0.5,0.11,0.64,0.25,0.1,0.23,0.0,0.5,0.0,0.44,0.07,0.95,0.5,0.0,0.69,0.16,0.8
