,fbmanager.csv,psycle.csv,qgis.csv,emeraldemu.csv,bochs.csv,bl-toolkit.csv,unimrcp.csv,sbml.csv,wow-qrsk.csv,plplot.csv,openmalaria.csv,modellus.csv,ardour.csv,powerfolder.csv,pi-qmc.csv
ardour.csv,0.37,0.59,0.49,0.42,0.64,0.73,0.56,0.53,0.51,0.54,0.57,0.65,0.45,0.26,0.46
bl-toolkit.csv,0.91,0.91,0.99,0.97,0.92,0.29,1.0,1.05,1.03,1.0,0.96,0.6,0.82,0.64,0.95
bochs.csv,0.69,0.84,0.99,0.66,0.44,0.87,0.82,0.57,0.54,0.46,0.79,0.62,0.59,0.77,0.73
emeraldemu.csv,0.62,0.68,0.51,0.35,0.5,0.83,0.89,0.52,0.36,0.72,0.55,0.73,0.45,0.71,0.82
fbmanager.csv,0.38,0.7,0.68,0.83,0.9,0.75,0.52,0.41,0.91,0.46,0.65,0.83,0.47,0.45,0.69
modellus.csv,0.86,0.68,0.54,0.59,0.59,0.46,0.47,0.59,0.43,0.58,0.62,0.31,0.46,0.68,0.42
openmalaria.csv,0.55,0.46,0.61,0.79,0.64,0.68,0.45,0.44,0.4,0.54,0.34,0.71,0.58,0.79,0.41
pi-qmc.csv,0.71,0.68,0.67,0.8,0.75,0.68,0.83,0.49,0.59,0.52,0.63,0.49,0.53,0.78,0.25
plplot.csv,0.94,0.79,0.84,0.69,0.91,0.68,0.77,0.86,0.77,0.39,0.88,0.6,0.78,1.01,0.75
powerfolder.csv,0.57,0.66,0.58,0.49,0.78,0.81,0.64,0.44,0.44,0.83,0.44,0.82,0.53,0.09,0.3
psycle.csv,0.59,0.44,0.7,0.71,0.58,0.51,0.52,0.69,0.6,0.53,0.65,0.71,0.74,0.84,0.38
qgis.csv,0.51,0.54,0.44,0.44,0.54,0.84,1.0,0.47,0.41,0.57,0.63,0.7,0.61,0.74,0.48
sbml.csv,0.52,0.52,0.66,0.81,0.99,0.6,0.61,0.35,0.75,0.55,0.47,0.66,0.49,0.89,0.39
unimrcp.csv,0.47,0.54,0.62,0.44,0.75,0.88,0.39,0.55,0.48,0.63,0.53,0.66,0.57,0.74,0.4
wow-qrsk.csv,0.97,0.8,0.64,0.45,0.47,0.52,0.67,0.95,0.31,0.53,0.84,0.56,0.91,0.25,1.0
