,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.5,0.92,0.9,0.57,0.89,0.83,0.4,0.47,0.75,0.5,0.86,0.34,0.42,0.5
emeraldemu.csv,0.48,0.49,0.51,0.56,0.53,0.66,0.42,0.8,0.41,0.0,0.5,0.89,0.0,0.93
frogatto.csv,0.32,0.39,0.52,0.39,0.33,0.35,0.33,0.37,0.34,0.32,0.37,0.41,0.37,0.36
grafx2.csv,0.36,0.44,0.6,0.48,0.49,0.49,0.36,0.42,0.4,0.34,0.35,0.54,0.38,0.41
jahshakafx.csv,0.33,0.41,0.42,0.42,0.4,0.43,0.36,0.75,0.37,0.29,0.32,0.42,0.29,0.61
nassp.csv,0.56,0.7,0.0,0.48,0.76,0.75,0.93,0.55,0.5,0.34,0.51,0.71,0.37,0.95
netatalk.csv,0.41,0.44,0.52,0.5,0.38,0.41,0.42,0.49,0.37,0.51,0.4,0.4,0.43,0.37
open-beos.csv,0.39,0.41,0.5,0.49,0.38,0.49,0.62,0.38,0.44,0.49,0.43,0.5,0.41,0.63
psycle.csv,0.43,0.43,0.52,0.45,0.37,0.41,0.32,0.38,0.34,0.41,0.35,0.36,0.35,0.36
quantlib.csv,0.53,0.48,0.5,0.47,0.35,0.4,0.56,0.0,0.39,0.0,0.44,0.75,0.0,0.62
reaper-ecad.csv,0.68,1.0,0.63,0.96,0.94,0.94,0.9,0.0,0.0,0.0,0.77,0.8,0.5,0.0
sbml.csv,0.4,0.4,0.48,0.42,0.35,0.4,0.34,0.35,0.35,0.32,0.37,0.39,0.36,0.56
unimrcp.csv,0.38,0.43,0.57,0.46,0.52,0.48,0.37,0.41,0.36,0.38,0.43,0.43,0.58,0.42
unladen-swallow.csv,0.78,0.56,0.88,0.46,0.5,0.52,0.62,0.39,0.0,0.4,0.94,0.42,0.38,0.68
