,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.55,0.27,0.3,0.83,0.49,0.67,0.68,0.5,0.75,0.85,1.0,0.71,0.37,0.0
emeraldemu.csv,0.4,0.21,0.16,0.87,0.64,0.66,0.51,0.6,0.31,1.0,0.95,1.0,1.0,0.21
frogatto.csv,0.5,0.17,0.13,0.81,0.35,0.46,0.59,0.31,0.23,0.72,0.72,0.75,0.33,0.25
grafx2.csv,0.51,0.19,0.23,0.84,0.5,0.48,0.54,0.35,0.29,0.84,0.76,0.73,0.46,0.2
jahshakafx.csv,0.57,0.23,0.22,0.87,0.46,0.54,0.56,0.69,0.3,0.86,0.83,0.75,0.35,0.18
nassp.csv,0.54,0.23,0.0,0.84,0.51,0.63,0.64,0.29,0.5,0.84,0.92,0.71,0.33,0.63
netatalk.csv,0.47,0.15,0.16,0.72,0.37,0.42,0.46,0.31,0.24,0.57,0.74,0.63,0.48,0.23
open-beos.csv,0.48,0.19,0.17,0.86,0.38,0.61,0.62,0.28,0.23,0.61,0.91,0.73,0.32,0.18
psycle.csv,0.38,0.14,0.16,0.81,0.39,0.48,0.52,0.36,0.23,0.64,0.74,0.6,0.28,0.16
quantlib.csv,0.3,0.12,0.0,0.66,0.31,0.4,0.46,0.0,0.24,0.0,0.83,0.75,0.0,0.36
reaper-ecad.csv,0.63,0.26,0.32,0.93,0.68,0.88,0.9,0.0,0.0,0.0,1.0,1.0,1.0,0.0
sbml.csv,0.44,0.2,0.18,0.74,0.33,0.52,0.59,0.38,0.22,0.82,0.9,0.61,0.33,0.27
unimrcp.csv,0.51,0.19,0.24,0.84,0.52,0.59,0.54,0.45,0.31,0.9,0.87,0.7,0.67,0.25
unladen-swallow.csv,0.58,0.23,0.12,0.8,0.38,0.51,0.71,0.45,1.0,0.8,0.75,0.67,0.38,0.24
