,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.26,0.74,0.62,0.46,0.48,0.62,0.65,0.49,0.95,0.62,0.51
google-gears.csv,0.72,0.58,0.82,0.76,0.91,0.46,0.81,1.0,0.74,0.78,0.53
grafx2.csv,0.46,1.0,0.36,0.26,0.61,0.58,0.45,0.5,0.49,0.43,0.6
kmess.csv,0.41,0.63,0.73,0.33,0.45,0.46,1.0,0.25,0.44,0.48,0.7
megameknet.csv,0.46,0.37,0.41,0.28,0.33,0.91,0.48,0.42,0.56,0.47,0.02
minig.csv,0.61,0.77,0.65,0.96,0.67,0.64,0.77,0.56,0.49,0.55,0.77
ns-3.csv,0.99,0.86,0.81,0.61,0.67,0.71,0.72,0.69,0.57,0.71,0.72
omseek.csv,0.05,0.4,0.12,0.26,0.94,0.43,0.04,0.08,0.15,0.2,0.06
quickfast.csv,0.59,0.88,0.88,0.67,0.55,0.55,0.61,0.68,0.61,0.56,1.0
sylpheed-claws.csv,0.49,0.58,0.98,0.52,0.48,0.7,0.39,0.39,0.57,0.58,0.47
xamj.csv,0.61,0.77,0.73,0.59,0.67,0.75,0.62,0.65,0.51,0.96,0.83
