,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.3,0.73,0.57,0.49,0.5,0.64,0.58,0.52,0.96,0.62,0.55
google-gears.csv,0.58,0.52,0.46,0.63,0.56,0.5,0.56,1.0,0.44,0.56,0.48
grafx2.csv,0.5,0.99,0.41,0.3,0.61,0.61,0.49,0.54,0.49,0.48,0.62
kmess.csv,0.44,0.57,0.52,0.36,0.48,0.51,0.99,0.29,0.48,0.45,0.56
megameknet.csv,0.48,0.42,0.45,0.32,0.36,0.93,0.47,0.4,0.52,0.5,0.02
minig.csv,0.6,0.77,0.65,0.97,0.66,0.65,0.63,0.59,0.48,0.58,0.75
ns-3.csv,0.99,0.41,0.62,0.49,0.59,0.62,0.52,0.55,0.57,0.61,0.65
omseek.csv,0.06,0.43,0.15,0.3,0.95,0.4,0.05,0.1,0.18,0.24,0.07
quickfast.csv,0.57,0.67,0.41,0.68,0.5,0.57,0.47,0.67,0.58,0.59,1.0
sylpheed-claws.csv,0.52,0.61,0.98,0.53,0.51,0.68,0.43,0.43,0.58,0.54,0.51
xamj.csv,0.47,0.58,0.63,0.57,0.51,0.59,0.59,0.57,0.49,0.97,0.69
