,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,v8.csv
bochs.csv,0.86,0.7,0.6,0.56,0.43,0.65,0.96
encog-java.csv,0.44,0.95,0.97,0.78,0.81,0.89,0.98
h2database.csv,0.51,0.41,0.86,0.46,0.79,0.76,0.9
haphazard.csv,0.87,0.93,0.69,0.76,0.82,0.51,0.82
jaql.csv,0.64,0.57,0.68,0.41,0.53,0.85,0.73
raven-monitoring.csv,0.79,0.86,0.39,0.68,0.9,0.51,0.7
v8.csv,0.94,0.59,0.91,0.87,0.96,0.72,0.22
