,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,pcsx2.csv,xqilla.csv,wxjs.csv,ffigo.csv,wikipediardware.csv
enlightenment.csv,0.55,0.4,0.48,0.99,0.68,0.45,0.0,0.49,0.55
ffigo.csv,0.57,0.61,0.58,0.47,0.56,0.35,0.0,0.97,0.38
ildjit.csv,0.13,1.0,0.21,0.06,0.07,0.0,0.0,0.04,0.0
jfreereport.csv,0.46,0.24,0.92,0.51,0.43,0.0,0.28,0.51,0.44
pcsx2.csv,0.54,0.45,0.63,0.57,0.98,0.61,0.0,0.59,0.45
psycle.csv,0.98,0.45,0.47,0.63,0.65,0.43,0.65,0.61,0.5
wikipediardware.csv,0.65,0.51,0.46,0.58,0.56,0.49,0.51,0.63,0.96
wxjs.csv,0.0,0.0,0.0,0.01,0.0,0.0,1.0,0.0,0.0
xqilla.csv,0.04,0.0,0.05,0.01,0.04,1.0,0.0,0.01,0.0
