,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,avisynth2.csv,octet.csv,twostep.csv,geotools.csv,rcp-company-uibindings.csv,thedata.csv
adonthell.csv,1.0,0.36,0.75,0.51,0.79,0.83,0.29,0.3,0.25,0.1,0.12,0.39,0.81,0.05,0.16,0.38,0.36,0.99,0.02
autofac.csv,0.97,0.37,0.8,0.79,0.65,0.74,0.45,0.32,0.57,0.11,0.13,0.26,0.74,0.08,0.16,0.71,0.26,0.99,0.0
avisynth2.csv,1.0,0.47,0.83,0.5,0.0,1.0,0.5,0.33,0.67,0.0,0.0,0.26,0.88,0.6,0.0,0.5,0.38,1.0,0.0
azureus.csv,1.0,0.39,0.78,0.45,0.57,0.8,0.28,0.34,0.48,0.09,0.15,0.58,0.81,0.08,0.11,0.36,0.36,0.97,0.03
dsworkbench.csv,1.0,0.66,0.91,0.57,1.0,0.89,0.0,0.5,0.53,0.22,0.25,0.23,0.83,0.0,0.33,0.57,0.29,0.97,0.0
forester-atv.csv,0.99,0.59,0.78,0.55,0.57,0.79,0.43,0.75,0.46,0.2,0.22,0.25,0.67,0.07,0.38,0.5,0.28,0.92,0.0
freelords.csv,0.98,0.39,0.8,0.5,0.53,0.82,0.55,0.34,0.43,0.13,0.24,0.28,0.84,0.06,0.25,0.52,0.31,0.98,0.11
gabel.csv,1.0,0.47,0.8,0.82,0.79,0.88,0.52,0.31,0.62,0.27,0.18,0.49,0.75,0.05,0.14,0.73,0.33,0.97,0.06
geotools.csv,1.0,0.45,0.77,0.52,0.55,0.76,0.41,0.33,0.41,0.09,0.26,0.33,0.75,0.0,0.21,0.5,0.46,0.96,0.08
google-collections.csv,1.0,0.38,0.76,0.47,0.56,0.74,0.29,0.35,0.39,0.08,0.19,0.27,0.76,0.05,0.12,0.37,0.28,0.96,0.06
jpaul.csv,1.0,0.44,0.76,0.62,0.67,0.73,0.65,0.28,0.44,0.19,0.18,0.29,0.67,0.07,0.19,0.57,0.26,1.0,0.0
mycila.csv,0.98,0.44,0.75,0.47,0.54,0.83,0.24,0.27,0.34,0.12,0.54,0.37,0.74,0.0,0.13,0.26,0.33,0.95,0.09
neodatis-odb.csv,0.97,0.38,0.85,0.51,0.65,0.81,0.25,0.56,0.5,0.1,0.36,0.37,0.79,0.05,0.16,0.23,0.25,0.97,0.29
octet.csv,0.97,0.45,0.85,0.46,0.59,0.76,0.3,0.41,0.45,0.12,0.23,0.25,0.83,0.05,0.3,0.44,0.36,0.96,0.07
pokenetonline.csv,1.0,0.41,0.77,0.47,0.58,0.79,0.29,0.36,0.55,0.07,0.17,0.29,0.89,0.05,0.13,0.4,0.31,0.96,0.07
rcp-company-uibindings.csv,1.0,0.44,0.78,0.56,0.49,0.83,0.44,0.27,0.42,0.09,0.18,0.32,0.83,0.07,0.07,0.63,0.39,1.0,0.1
scenemonitor.csv,1.0,0.29,0.79,0.6,0.71,0.85,0.65,0.41,0.64,0.14,0.2,0.32,0.66,0.0,0.29,0.52,0.34,0.97,0.05
thedata.csv,0.96,0.51,0.87,0.46,0.44,0.68,0.19,0.37,0.37,0.07,0.25,0.24,0.67,0.03,0.07,0.24,0.27,0.95,0.67
twostep.csv,1.0,0.47,0.79,0.54,0.67,0.83,0.44,0.34,0.52,0.14,0.22,0.36,0.77,0.07,0.13,0.69,0.31,0.98,0.03
