,plee-the-bear.csv,google-caja.csv,genecys.csv,itext.csv
genecys.csv,0.91,0.58,0.42,0.7
google-caja.csv,0.8,0.31,0.57,0.34
itext.csv,0.6,1.0,0.61,0.36
plee-the-bear.csv,0.32,0.7,0.8,0.72
