,pidgin.csv,gnukeda.csv,unimrcp.csv,emulemorph.csv,fceugc.csv,ogre.csv,micomt.csv,gusanos.csv,repositorium.csv,modplug.csv,openfrag.csv,auber.csv,xqilla.csv,xapian.csv,oscarmcmaster.csv
auber.csv,0.31,0.28,0.3,0.38,0.37,0.0,0.25,0.52,0.01,0.04,0.36,0.02,0.15,0.12,0.33
emulemorph.csv,0.16,0.16,0.05,0.0,0.02,0.0,0.0,0.28,0.01,0.0,0.06,0.0,0.0,0.08,0.2
fceugc.csv,0.36,0.31,0.0,0.33,0.0,0.0,0.07,0.24,0.19,0.33,0.13,0.15,0.44,0.28,0.25
gnukeda.csv,0.44,0.03,0.58,0.51,0.33,0.5,0.61,0.45,0.44,0.38,0.58,0.56,0.81,0.45,0.52
gusanos.csv,0.11,0.41,0.68,0.42,0.47,0.75,0.69,0.0,0.69,0.58,0.43,0.62,0.39,0.61,0.53
micomt.csv,0.25,0.41,0.14,0.56,0.19,0.5,0.0,0.41,0.05,0.33,0.23,0.27,0.46,0.2,0.75
modplug.csv,0.75,0.56,0.74,0.73,0.53,1.0,0.69,0.52,0.74,0.0,0.64,0.67,0.94,0.28,0.68
ogre.csv,1.0,1.0,0.96,1.0,0.95,0.0,0.98,1.0,1.0,0.96,1.0,0.98,1.0,0.99,0.95
openfrag.csv,0.86,0.72,0.66,0.83,0.65,1.0,0.36,0.45,0.17,0.67,0.02,0.47,0.74,0.65,0.59
oscarmcmaster.csv,0.23,0.06,0.04,0.27,0.02,0.0,0.63,0.24,0.0,0.17,0.04,0.6,0.32,0.01,0.0
pidgin.csv,0.02,0.25,0.49,0.59,0.42,1.0,0.54,0.24,0.43,0.29,0.58,0.36,0.64,0.3,0.36
repositorium.csv,0.42,0.75,0.22,0.26,0.3,0.5,0.14,0.69,0.0,0.92,0.64,0.25,0.9,0.32,0.59
unimrcp.csv,0.0,0.03,0.0,0.11,0.07,0.0,0.07,0.03,0.01,0.12,0.04,0.11,0.21,0.03,0.17
xapian.csv,0.48,0.69,0.46,0.44,0.53,0.5,0.31,0.59,0.3,0.29,0.42,0.24,0.65,0.01,0.33
xqilla.csv,0.02,0.03,0.0,0.13,0.02,0.0,0.07,0.0,0.02,0.12,0.0,0.04,0.0,0.01,0.02
