,pidgin.csv,gnukeda.csv,unimrcp.csv,emulemorph.csv,fceugc.csv,ogre.csv,micomt.csv,gusanos.csv,repositorium.csv,modplug.csv,openfrag.csv,auber.csv,xqilla.csv,xapian.csv,oscarmcmaster.csv
auber.csv,0.56,0.4,0.41,0.0,0.41,0.35,0.35,0.63,0.22,0.43,0.5,0.99,0.0,0.55,0.57
emulemorph.csv,0.13,0.1,0.0,1.0,0.06,0.1,0.0,0.07,0.11,0.06,0.04,0.01,0.0,0.1,0.02
fceugc.csv,0.59,0.32,0.0,0.53,1.0,0.32,0.27,0.28,0.31,0.39,0.27,0.25,0.64,0.31,0.13
gnukeda.csv,0.7,0.95,0.71,0.5,0.42,0.41,0.6,0.57,0.3,0.59,0.52,0.47,0.54,0.69,0.57
gusanos.csv,0.45,0.34,0.64,0.0,0.56,0.44,0.31,0.99,0.48,0.52,0.53,0.56,0.66,0.55,0.53
micomt.csv,0.56,0.61,0.42,0.61,0.47,0.16,0.88,0.53,0.11,0.42,0.57,0.52,0.36,0.27,0.53
modplug.csv,0.59,0.64,0.56,0.65,0.74,0.0,0.63,0.72,0.57,0.97,0.67,0.64,0.24,0.66,0.61
ogre.csv,0.0,0.0,0.17,0.0,0.21,1.0,0.09,0.0,0.0,0.17,0.0,0.09,0.0,0.05,0.21
openfrag.csv,0.44,0.44,0.67,0.47,0.64,0.0,0.62,0.73,0.59,0.64,0.95,0.73,0.64,0.58,0.63
oscarmcmaster.csv,0.4,0.33,0.13,0.53,0.17,0.73,0.32,0.52,0.0,0.43,0.2,0.21,0.0,0.1,0.95
pidgin.csv,0.98,0.68,0.6,0.69,0.57,0.0,0.77,0.44,0.55,0.64,0.52,0.34,0.74,0.57,0.55
repositorium.csv,0.67,0.44,0.45,0.2,0.42,0.48,0.27,0.45,0.69,0.26,0.57,0.32,0.36,0.35,0.61
unimrcp.csv,0.27,0.16,0.97,0.38,0.23,0.05,0.0,0.23,0.0,0.24,0.18,0.11,0.95,0.15,0.32
xapian.csv,0.68,0.6,0.49,0.64,0.55,0.48,0.56,0.43,0.31,0.58,0.41,0.46,0.33,0.97,0.54
xqilla.csv,0.07,0.06,0.0,0.38,0.06,0.02,0.1,0.0,0.0,0.18,0.0,0.01,1.0,0.0,0.07
