,pidgin.csv,gnukeda.csv,unimrcp.csv,emulemorph.csv,fceugc.csv,ogre.csv,micomt.csv,gusanos.csv,repositorium.csv,modplug.csv,openfrag.csv,auber.csv,xqilla.csv,xapian.csv,oscarmcmaster.csv
auber.csv,0.54,0.36,0.37,0.0,0.38,0.3,0.31,0.69,0.18,0.38,0.47,0.99,0.0,0.5,0.55
emulemorph.csv,0.11,0.08,0.0,1.0,0.05,0.08,0.0,0.06,0.09,0.05,0.03,0.01,0.0,0.08,0.02
fceugc.csv,0.58,0.28,0.0,0.5,1.0,0.27,0.23,0.24,0.27,0.35,0.23,0.21,0.67,0.27,0.11
gnukeda.csv,0.74,0.95,0.85,0.5,0.38,0.39,0.69,0.57,0.27,0.58,0.56,0.48,1.0,0.73,0.6
gusanos.csv,0.4,0.31,0.85,0.0,0.57,0.55,0.31,0.99,0.55,0.56,0.52,0.63,0.67,0.62,0.55
micomt.csv,0.53,0.62,0.37,0.67,0.43,0.14,0.85,0.52,0.09,0.38,0.53,0.49,0.33,0.23,0.74
modplug.csv,0.9,0.72,0.78,1.0,0.86,0.46,0.85,0.82,0.82,0.96,0.85,0.84,1.0,0.65,0.79
ogre.csv,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.82,0.95,1.0,0.99,1.0,0.92,1.0
openfrag.csv,0.92,0.51,0.89,0.83,0.81,0.57,0.62,0.79,0.55,0.84,0.94,0.81,1.0,0.69,0.72
oscarmcmaster.csv,0.36,0.28,0.11,0.5,0.14,0.68,0.31,0.48,0.0,0.38,0.17,0.19,0.0,0.08,0.94
pidgin.csv,0.98,0.67,0.63,0.83,0.57,0.34,0.92,0.4,0.55,0.62,0.56,0.3,1.0,0.54,0.53
repositorium.csv,0.7,0.54,0.41,0.17,0.38,0.48,0.23,0.51,0.64,0.58,0.67,0.28,1.0,0.31,0.7
unimrcp.csv,0.23,0.13,0.96,0.33,0.19,0.04,0.0,0.19,0.0,0.2,0.15,0.09,1.0,0.12,0.28
xapian.csv,0.73,0.79,0.48,0.67,0.57,0.47,0.54,0.43,0.27,0.55,0.38,0.42,0.33,0.96,0.51
xqilla.csv,0.06,0.05,0.0,0.33,0.05,0.02,0.08,0.0,0.0,0.15,0.0,0.01,1.0,0.0,0.06
