,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.64,0.0,0.88,0.88,0.77,0.83,0.85,0.99,0.98,0.65,0.76
libtorrent.csv,0.76,0.77,0.78,0.7,0.82,0.0,1.0,1.0,0.92,0.95,0.64
mcmc-jags.csv,0.59,0.89,0.82,0.07,0.62,0.71,0.49,0.64,0.84,0.44,0.58
natpad.csv,0.63,0.62,0.7,0.53,0.72,0.76,0.44,0.68,0.66,0.44,0.09
nebuladevice.csv,0.93,0.83,0.75,0.87,0.75,0.84,0.85,0.79,0.0,0.94,0.75
olap-navigator.csv,0.02,0.87,0.48,0.3,0.45,0.53,0.77,0.82,0.68,0.81,0.52
pidgin.csv,0.69,0.7,0.65,0.7,0.05,0.45,0.47,0.69,0.64,0.66,0.61
salasaga.csv,1.02,0.88,0.76,1.0,0.96,1.02,0.96,0.11,0.91,1.01,0.9
sepgsql.csv,0.95,0.74,0.11,1.0,0.82,0.97,0.98,1.0,0.93,0.98,1.0
xstore.csv,0.53,0.94,0.56,0.53,0.5,0.66,0.02,0.52,0.61,0.51,0.5
xtreemfs.csv,0.65,0.65,0.72,0.68,0.53,0.54,0.47,0.52,0.54,0.02,0.52
