,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.62,1.0,0.09,0.18,0.7,0.76,0.57,0.26,0.12,0.68,0.56
libtorrent.csv,0.7,0.56,0.1,0.46,0.82,1.0,0.68,0.26,0.32,0.91,0.59
mcmc-jags.csv,0.61,0.4,0.12,0.97,0.56,0.5,0.64,0.3,0.17,0.83,0.55
natpad.csv,0.53,0.49,0.09,0.49,0.45,0.42,0.7,0.36,0.3,0.83,0.95
nebuladevice.csv,0.14,0.27,0.13,0.19,0.41,0.29,0.25,0.27,1.0,0.12,0.38
olap-navigator.csv,0.99,0.36,0.15,0.69,0.76,0.71,0.68,0.3,0.33,0.9,0.56
pidgin.csv,0.59,0.58,0.11,0.34,0.98,0.76,0.67,0.34,0.34,0.89,0.57
salasaga.csv,0.72,0.57,0.08,0.42,0.7,0.81,0.59,0.94,0.25,0.78,0.45
sepgsql.csv,0.11,0.37,0.94,0.0,0.31,0.06,0.04,0.0,0.12,0.03,0.0
xstore.csv,0.7,0.26,0.13,0.61,0.71,0.58,0.99,0.36,0.31,0.89,0.6
xtreemfs.csv,0.66,0.56,0.11,0.38,0.66,0.63,0.71,0.34,0.36,1.0,0.62
