,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.67,0.44,0.86,0.43,0.47,0.17,0.46,0.2,0.62,0.0,0.56,0.51
miranda-icq.csv,0.62,0.56,0.44,0.09,0.35,0.26,0.55,0.05,0.62,0.0,0.61,0.51
pclasses.csv,0.74,0.56,0.0,0.0,0.11,0.0,0.1,0.05,0.0,0.33,0.49,0.6
pfaedit.csv,0.0,0.64,0.28,0.68,0.75,0.0,0.68,0.26,0.02,0.62,0.56,0.3
rockbox.csv,0.57,0.71,0.02,0.88,0.73,0.33,0.58,0.65,0.55,0.58,0.67,0.74
theresa.csv,0.0,0.67,0.45,0.95,0.7,0.0,0.62,0.56,0.39,0.63,0.48,0.42
thrust.csv,0.0,0.05,0.06,0.0,0.24,0.69,0.17,0.11,0.1,0.1,0.13,0.24
tktoolkit.csv,0.0,0.42,0.12,0.0,0.59,0.64,0.39,0.48,0.26,0.0,0.27,0.65
trinitycore.csv,0.48,0.47,0.02,0.82,0.13,0.51,0.53,0.2,0.29,0.54,0.62,0.3
tzod.csv,0.29,0.66,0.61,0.94,0.66,0.14,0.48,0.47,0.52,0.0,0.48,0.25
yaprm.csv,0.39,0.42,0.0,0.69,0.35,0.33,0.69,0.47,0.1,0.0,0.42,0.25
