,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.61,0.38,0.21,0.82,0.69,0.96,0.66,0.95,0.63,1.0,0.64,0.81
miranda-icq.csv,0.61,0.44,0.86,0.98,0.23,0.55,0.53,0.05,0.29,1.0,0.5,0.22
pclasses.csv,0.23,0.44,0.0,0.2,0.14,0.04,0.24,0.01,0.01,0.0,0.39,0.66
pfaedit.csv,0.12,0.33,0.03,0.3,0.2,0.02,0.61,0.06,0.03,0.0,0.45,0.16
rockbox.csv,0.34,0.6,0.0,0.4,0.43,0.34,0.68,0.37,0.5,0.0,0.5,0.25
theresa.csv,0.32,0.52,0.24,0.22,0.43,0.06,0.39,0.64,0.33,0.0,0.3,0.03
thrust.csv,0.04,0.08,0.0,0.0,0.2,0.49,0.21,0.12,0.13,0.0,0.08,0.41
tktoolkit.csv,0.25,0.52,0.07,0.0,0.63,0.66,0.29,0.1,0.51,1.0,0.34,0.69
trinitycore.csv,0.3,0.33,0.0,0.52,0.11,0.57,0.79,0.13,0.15,0.0,0.36,0.12
tzod.csv,0.54,0.38,0.66,0.24,0.54,0.21,0.39,0.81,0.53,1.0,0.33,0.16
yaprm.csv,0.38,0.15,0.0,0.22,0.09,0.3,0.29,0.28,0.02,1.0,0.25,0.16
