,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,l2j.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,1.0,0.53,1.0,0.47,0.81,0.55,0.96,0.99,0.81,0.79,0.68,0.76,0.78,0.82,0.87,0.68
betoffice.csv,0.63,0.93,0.75,0.89,1.02,0.87,0.97,0.64,0.9,0.88,0.88,0.89,0.93,0.74,0.87,0.71
bionote.csv,0.69,0.56,0.71,0.92,0.84,0.96,0.9,0.96,0.7,0.78,0.74,0.82,0.26,0.73,0.67,0.79
bnetd.csv,0.92,1.0,0.89,0.66,0.81,0.62,0.81,1.0,0.66,0.62,0.4,1.0,0.72,0.99,0.91,0.79
elvishrayrenderer.csv,0.67,0.81,0.95,0.55,0.32,0.35,0.89,0.96,0.83,0.75,0.77,0.9,0.33,0.68,0.46,0.3
emisview.csv,0.9,1.0,0.95,0.64,0.61,0.38,0.83,0.91,0.57,1.0,0.7,0.86,0.57,0.84,0.62,0.88
hazelcast.csv,0.85,0.54,0.44,0.69,0.05,0.87,0.81,0.68,0.84,0.57,0.59,0.65,0.7,0.71,0.57,0.69
jitterbit.csv,1.0,0.74,0.7,0.61,0.71,0.7,0.72,0.98,0.37,0.82,0.92,0.62,0.87,0.78,0.69,0.55
jppf-project.csv,0.88,0.86,0.89,0.81,0.75,0.94,0.81,0.85,0.9,0.87,0.94,0.23,0.7,0.67,0.66,0.91
l2j.csv,0.92,0.58,0.71,0.56,0.5,0.66,0.8,0.65,0.65,0.65,0.5,0.88,0.87,0.41,0.76,0.77
megasquirtavr.csv,1.0,1.0,0.43,0.96,1.0,1.0,0.83,0.88,0.57,0.8,1.0,0.88,1.0,1.0,0.87,0.85
stajistics.csv,0.66,0.96,1.0,1.0,0.38,0.93,0.87,0.72,0.78,0.65,0.49,1.02,0.68,0.64,0.44,0.84
trackit.csv,0.9,1.0,0.95,0.7,0.82,0.73,0.59,0.98,0.84,0.82,0.97,0.99,0.88,0.99,0.89,1.01
wxlua.csv,0.73,0.93,0.88,0.91,1.0,0.85,0.75,0.98,0.67,0.63,0.97,0.85,0.78,0.84,0.82,0.8
x4x.csv,0.48,0.54,0.59,0.62,0.78,0.66,0.76,0.85,0.68,0.83,0.42,0.79,0.92,0.76,0.63,0.65
xharbour.csv,1.0,0.22,0.92,0.87,0.91,0.93,0.96,0.74,0.84,0.66,0.95,0.88,0.65,0.79,0.92,0.87
