,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,l2j.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.95,0.77,1.0,0.64,0.89,0.52,0.93,0.84,0.91,0.25,0.74,0.87,0.88,0.88,0.97,0.71
betoffice.csv,0.52,0.74,0.4,0.95,0.78,0.74,0.83,0.64,0.25,0.9,0.72,0.84,0.62,0.6,0.77,0.76
bionote.csv,0.33,0.82,0.3,0.09,0.16,0.04,0.1,0.53,0.3,0.22,0.26,0.66,0.88,0.65,0.37,0.5
bnetd.csv,0.88,1.0,0.95,0.41,0.45,0.43,0.41,1.0,0.73,0.43,0.64,0.99,0.88,0.98,0.83,0.85
elvishrayrenderer.csv,0.55,0.56,0.05,0.82,0.75,0.7,0.12,0.04,0.18,0.59,0.23,0.5,0.88,0.34,0.6,0.79
emisview.csv,0.17,0.0,0.05,0.41,0.4,0.7,0.17,0.09,0.46,0.0,0.33,0.4,0.5,0.16,0.4,0.12
hazelcast.csv,0.81,0.67,0.6,0.73,0.95,0.96,0.66,0.58,0.86,0.57,0.54,0.84,0.88,0.32,0.8,0.53
jitterbit.csv,0.93,0.98,0.35,0.73,0.89,0.57,0.32,0.04,0.69,0.22,0.95,0.43,0.88,0.42,0.83,0.68
jppf-project.csv,0.71,0.55,0.95,0.27,0.73,0.43,0.8,0.89,0.59,0.56,0.56,0.8,0.75,0.5,0.6,0.53
l2j.csv,0.62,0.6,0.3,0.68,0.51,0.7,0.61,0.6,0.76,0.4,0.64,0.54,0.88,0.73,0.67,0.53
megasquirtavr.csv,1.0,1.0,0.6,0.95,0.98,1.0,0.98,0.76,0.7,0.72,1.0,0.98,1.0,1.0,0.97,0.82
stajistics.csv,0.69,0.86,0.0,0.95,0.67,0.96,0.15,0.47,0.43,0.81,0.72,0.79,0.88,0.88,0.67,0.91
trackit.csv,0.12,0.0,0.05,0.45,0.2,0.3,0.66,0.02,0.2,0.22,0.26,0.01,0.12,0.01,0.13,0.03
wxlua.csv,0.31,0.76,0.65,0.82,0.2,0.17,0.46,0.02,0.51,0.94,0.92,0.42,0.5,0.58,0.23,0.65
x4x.csv,0.76,0.75,0.7,0.64,0.51,0.74,0.61,0.78,0.63,0.2,0.69,0.51,0.38,0.81,0.47,0.53
xharbour.csv,0.93,0.78,1.0,0.91,0.84,0.87,0.98,0.64,0.85,0.8,0.87,0.38,0.88,0.84,0.9,0.74
