,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.4,0.64,0.55,0.2,0.45,0.24,0.4,0.24,0.23,0.48,0.71,0.53
e-bio-flow.csv,0.67,0.57,0.73,0.74,0.6,0.0,0.41,0.3,0.33,0.58,0.65,0.65
freedom-erp.csv,0.49,0.2,0.47,0.2,0.74,0.0,0.31,0.42,0.25,0.0,0.26,0.1
jbasic.csv,0.7,0.58,0.39,0.75,0.58,0.59,0.62,0.55,0.0,0.42,0.46,0.62
jgossipforum.csv,0.42,0.49,0.43,0.56,0.04,0.98,0.41,0.73,0.24,0.69,0.23,0.5
joustsim.csv,0.2,0.59,0.27,0.69,0.11,0.79,0.91,0.73,0.55,0.45,0.51,0.63
jsidplay2.csv,0.81,0.65,0.59,0.44,0.24,0.24,0.57,0.49,0.43,0.63,0.5,0.47
madman.csv,0.36,0.27,0.31,0.19,0.18,0.23,0.64,0.95,0.09,0.64,0.13,0.02
mule.csv,0.39,0.68,0.52,0.2,0.69,0.0,0.49,0.39,0.38,0.29,0.25,0.77
nunit.csv,0.4,0.27,0.51,0.6,0.15,0.75,0.38,0.27,0.26,0.63,0.49,0.66
power-architect.csv,0.5,0.48,0.5,0.28,0.51,0.23,0.48,0.33,0.79,0.42,0.62,0.48
reaper3d.csv,0.59,0.25,0.47,0.49,0.64,0.74,0.31,0.14,0.4,0.74,0.43,0.47
