,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.67,0.68,0.57,0.83,0.62,0.8,0.67,0.94,0.83,0.84,0.49,0.57
e-bio-flow.csv,0.45,0.62,0.37,0.55,0.7,1.0,0.65,0.92,0.73,0.66,0.59,0.5
freedom-erp.csv,0.56,0.84,0.64,0.83,0.39,1.02,0.74,0.7,0.89,1.0,0.81,0.93
jbasic.csv,0.55,0.68,0.89,0.43,0.76,0.78,0.75,0.79,1.0,0.68,0.62,0.71
jgossipforum.csv,0.64,0.63,0.69,0.57,0.97,0.08,0.64,0.43,0.97,0.64,0.81,0.57
joustsim.csv,0.84,0.72,0.81,0.49,1.02,0.31,0.12,0.58,0.7,0.86,0.64,0.63
jsidplay2.csv,0.3,0.62,0.72,0.86,0.94,0.82,0.75,0.84,0.86,0.66,0.81,0.79
madman.csv,0.83,0.79,0.77,0.85,0.85,0.86,0.52,0.22,0.93,0.47,0.89,0.98
mule.csv,0.67,0.51,0.7,0.83,0.67,1.01,0.6,0.83,0.85,0.75,0.79,0.4
nunit.csv,0.82,0.78,0.8,0.57,0.88,0.45,0.79,0.99,0.78,0.5,0.65,0.46
power-architect.csv,0.68,0.84,0.83,0.84,0.79,0.96,0.65,1.0,0.26,0.89,0.61,0.84
reaper3d.csv,0.57,0.81,0.64,0.83,0.59,0.46,0.73,0.93,0.84,0.39,0.74,0.7
