,heekscad.csv,xcsoar.csv,ikvm.csv,jcae.csv,xuggle.csv,gbif-providertoolkit.csv,qcad2.csv,levent.csv,jaxen.csv,nicepress.csv,customwars.csv,archive-crawler.csv,quarkplusplus.csv,all-plasm.csv,sigil.csv,pnotepad.csv,qedo.csv,gss.csv
all-plasm.csv,0.58,0.75,0.61,0.94,0.84,0.85,0.65,0.87,0.81,0.86,0.48,0.57,0.72,0.62,0.58,0.86,0.74,0.7
archive-crawler.csv,0.62,0.91,0.62,0.64,0.74,0.94,0.56,0.51,0.47,0.7,0.81,0.74,0.62,0.89,0.67,0.83,0.72,0.8
customwars.csv,0.74,0.76,0.58,0.83,0.97,0.74,0.93,0.81,0.91,0.91,0.94,0.75,0.62,0.8,0.58,0.67,0.52,0.85
gbif-providertoolkit.csv,0.69,0.86,0.83,0.75,0.94,0.93,0.56,0.93,0.92,0.6,0.49,0.88,0.64,0.8,0.54,0.83,0.98,0.67
gss.csv,0.47,0.39,0.36,0.3,0.59,0.33,0.45,0.42,0.44,0.47,0.31,0.33,0.6,0.27,0.48,0.49,0.44,0.4
heekscad.csv,0.44,0.35,0.35,0.3,0.41,0.37,0.38,0.43,0.37,0.4,0.32,0.32,0.39,0.39,0.39,0.43,0.34,0.33
ikvm.csv,0.82,0.88,0.59,0.42,0.77,0.39,0.88,0.93,0.75,0.9,0.53,0.57,0.91,0.45,0.96,0.78,0.96,0.55
jaxen.csv,0.7,0.75,0.75,0.5,0.96,0.83,0.83,0.83,0.8,0.93,0.79,0.6,0.5,0.89,0.91,0.86,0.9,0.8
jcae.csv,0.79,0.67,0.86,0.89,0.95,0.75,0.74,0.67,0.9,0.91,0.84,0.77,0.67,0.8,0.86,0.75,0.9,0.67
levent.csv,0.4,0.4,0.44,0.5,0.51,0.4,0.47,0.51,0.43,0.44,0.38,0.45,0.5,0.41,0.48,0.45,0.41,0.58
nicepress.csv,0.9,0.56,0.89,0.62,0.77,0.59,0.78,0.5,0.92,0.58,0.93,0.64,0.75,0.86,0.62,0.67,0.73,0.69
pnotepad.csv,0.45,0.35,0.36,0.3,0.45,0.35,0.42,0.38,0.39,0.41,0.32,0.34,0.48,0.29,0.42,0.4,0.34,0.37
qcad2.csv,0.74,0.69,0.56,0.6,0.87,0.51,0.6,0.47,0.61,0.65,0.49,0.44,0.64,0.45,0.52,0.83,0.52,0.41
qedo.csv,0.8,0.83,0.83,0.92,0.93,0.88,0.89,0.0,0.95,0.91,0.8,0.67,0.0,0.5,0.0,0.87,0.95,0.83
quarkplusplus.csv,0.65,0.93,0.92,0.92,0.82,0.9,0.59,0.81,0.64,0.77,0.66,0.75,0.67,0.89,0.55,0.73,0.49,0.8
sigil.csv,0.53,0.64,0.69,0.73,0.64,0.52,0.43,0.5,0.49,0.54,0.36,0.52,0.44,0.45,0.48,0.68,0.52,0.64
xcsoar.csv,0.36,0.48,0.36,0.37,0.5,0.37,0.41,0.48,0.44,0.4,0.42,0.36,0.39,0.46,0.4,0.46,0.35,0.5
xuggle.csv,0.4,0.42,0.54,0.61,0.98,0.95,0.57,0.59,0.75,0.5,0.65,0.51,0.54,0.44,0.48,0.47,0.56,0.43
