,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv
apertium.csv,0.42,0.32,0.09,0.34,0.34,0.31,0.11,0.33,0.22,0.2,0.12,0.5,0.24,0.73,0.11,0.62,0.29
beast-mcmc.csv,0.26,0.74,0.59,0.58,0.49,0.43,0.71,0.39,0.84,0.93,0.58,0.29,0.24,0.47,0.83,0.75,0.5
bigdata.csv,0.11,0.26,0.33,0.29,0.43,0.21,1.0,0.18,0.05,0.35,0.88,0.07,0.35,0.2,0.28,0.38,0.21
codesmith.csv,0.26,0.45,0.17,0.58,0.4,0.65,0.49,0.83,0.0,0.31,0.67,0.79,0.14,0.43,0.74,0.28,0.26
cuberok.csv,0.28,0.34,0.53,0.37,0.8,0.5,0.4,0.35,0.48,0.93,0.58,0.57,0.54,0.4,1.0,0.38,0.44
exist.csv,0.89,0.89,0.83,0.45,1.0,0.99,0.89,1.0,0.9,0.25,0.83,0.64,0.38,0.97,1.0,0.78,1.0
icescrum.csv,0.34,0.39,0.33,0.21,0.23,0.47,0.37,0.38,0.47,0.14,0.21,0.21,0.3,0.93,0.28,0.16,0.12
jbasic.csv,0.85,0.79,0.67,0.82,0.86,0.83,0.57,0.44,0.95,0.99,0.25,1.0,0.32,0.87,1.0,0.91,0.74
jrefactory.csv,0.81,0.37,0.82,0.61,0.29,0.43,0.6,0.42,0.62,0.13,0.54,0.21,0.35,0.93,0.4,0.47,0.97
jsecurity.csv,0.13,0.5,0.28,0.16,0.66,0.24,0.6,0.06,0.47,0.2,0.21,0.21,0.22,0.6,0.11,0.06,0.5
libopenmetaverse.csv,0.75,0.84,0.82,0.32,0.34,0.67,0.29,0.89,0.24,0.12,0.75,0.21,0.92,0.9,0.19,0.5,0.09
mobicents.csv,0.43,0.5,0.16,0.21,0.97,0.34,0.77,0.73,0.47,0.95,0.58,0.64,0.59,0.6,0.94,0.78,0.56
opendvr.csv,0.47,0.87,0.24,0.37,1.0,0.42,0.4,0.39,0.26,0.53,0.5,1.0,0.78,0.4,0.26,0.5,0.62
power-architect.csv,0.59,0.82,0.44,0.47,0.91,0.77,0.97,0.23,0.72,0.93,0.96,0.14,0.51,0.57,1.0,0.97,1.0
sidekar.csv,0.0,0.0,0.0,0.21,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
wheat.csv,0.34,0.45,0.25,0.11,0.83,0.29,0.29,0.05,0.31,0.86,0.25,0.29,0.27,0.2,0.49,0.38,0.88
wsmt.csv,0.16,0.13,0.11,0.03,0.03,0.33,0.0,0.12,0.1,0.18,0.04,0.29,0.3,0.2,0.04,0.09,0.35
