,campsoft.csv,sevenupdate.csv,extprosys.csv,opennms.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,freewrl.csv,roller.csv,aten.csv,xfce.csv,papertoolkit.csv,glas.csv,ibatisdb.csv,soar.csv,primefaces.csv,xcf.csv,web-cat.csv
encog-cs.csv,0.64,0.75,0.86,0.79,1.0,0.89,0.01,0.95,0.49,0.71,1.0,1.05,0.83,0.98,0.91,0.92,1.0,0.56,0.97,0.87
extprosys.csv,1.34,0.61,0.06,0.9,0.77,0.8,0.94,0.82,0.84,1.0,0.92,1.13,0.81,0.9,0.88,0.88,1.0,0.96,0.96,0.66
freewrl.csv,1.07,0.56,0.61,0.8,0.65,0.84,0.71,0.92,0.69,0.04,0.42,0.65,0.63,0.48,0.87,0.84,0.8,0.85,0.94,0.81
glas.csv,0.52,0.91,0.85,0.76,0.61,0.76,0.86,0.77,0.85,0.91,0.83,1.09,0.9,1.16,0.08,0.7,0.73,0.63,0.75,0.86
ibatisdb.csv,1.01,0.85,0.96,0.85,0.7,0.74,0.8,0.75,0.85,0.87,0.79,1.19,0.93,1.01,0.58,0.06,0.87,0.88,0.87,0.79
japano.csv,0.96,1.0,0.73,0.9,0.47,0.0,0.96,0.86,0.99,0.92,0.88,1.01,0.81,0.83,0.94,0.95,0.91,0.97,0.67,0.91
lockss.csv,1.01,0.85,0.86,0.9,0.67,0.88,0.9,0.05,0.88,0.77,0.62,0.71,0.81,1.0,0.97,0.88,0.78,0.88,0.82,0.95
officefloor.csv,1.01,0.63,0.8,0.7,0.93,0.79,0.98,0.88,0.29,0.86,0.97,0.17,0.95,0.63,0.98,0.87,1.0,0.69,0.94,0.75
opennms.csv,1.01,0.77,0.87,0.08,0.7,0.94,0.79,0.82,0.9,0.83,0.8,0.8,0.97,1.01,0.9,0.98,0.8,0.89,0.94,1.0
papertoolkit.csv,1.0,0.96,1.0,1.0,1.0,0.98,1.0,0.87,0.95,1.0,0.99,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.88,1.0
primefaces.csv,0.68,1.02,0.96,0.76,1.02,1.0,0.83,0.86,0.86,0.75,0.87,1.01,1.0,0.58,1.0,0.5,1.0,0.04,0.78,0.65
rohxel.csv,0.6,0.82,0.65,0.72,0.0,0.54,0.62,0.66,0.64,0.83,0.78,0.34,0.66,1.04,0.72,0.55,0.6,0.81,0.41,0.72
roller.csv,0.6,0.57,0.77,0.7,0.63,0.7,0.55,0.52,0.81,0.97,0.02,0.51,0.59,0.48,0.68,0.82,0.92,0.7,0.78,0.66
sevenupdate.csv,1.41,0.0,1.0,0.92,1.01,1.0,0.83,0.68,0.97,1.0,0.84,1.0,1.0,0.75,1.0,0.99,1.0,1.0,0.84,1.0
soar.csv,0.57,0.77,0.87,0.87,0.63,0.9,0.8,0.88,0.6,0.73,0.75,1.02,0.67,0.93,0.7,0.71,0.0,0.78,0.89,0.92
web-cat.csv,1.03,0.84,0.93,0.74,0.82,0.71,0.8,0.86,0.9,0.97,0.88,1.18,0.97,0.93,0.83,0.52,0.96,0.69,0.74,0.05
xcf.csv,1.15,0.92,0.65,0.61,0.79,0.75,0.61,0.59,0.58,0.69,0.71,0.48,0.58,0.56,0.73,0.79,0.82,0.69,0.0,0.69
xfce.csv,0.85,0.85,0.73,0.72,0.73,0.86,0.92,0.62,0.95,0.74,0.78,1.05,0.05,0.75,0.71,1.01,0.69,0.75,0.93,0.85
