,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,ogre.csv,autat.csv,mimosa.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,google-web-toolkit.csv,qdvdauthor.csv
auber.csv,0.71,0.82,0.81,0.97,0.63,0.6,0.73,0.37,0.76,0.76,1.0,0.89,0.77,0.47,0.88,0.6,0.33,0.67,0.71
autat.csv,0.79,0.9,0.8,0.6,0.7,0.64,0.5,0.56,1.06,0.43,0.93,0.64,0.49,0.79,0.87,0.73,0.55,0.66,0.55
brlcad.csv,0.96,0.49,0.61,0.95,0.9,0.76,0.68,0.82,1.05,0.6,1.0,0.68,0.68,0.9,0.47,0.81,0.83,0.79,0.96
delphilhlplib.csv,0.92,0.46,0.37,0.6,0.59,0.61,0.44,0.5,1.0,0.56,0.44,0.6,0.6,0.52,0.39,0.56,0.55,0.7,0.65
exordium.csv,0.57,0.72,0.69,0.64,0.29,0.52,0.81,0.59,0.96,0.65,0.65,0.75,0.94,0.77,0.55,0.71,0.76,0.7,0.88
fltk.csv,0.64,0.79,0.62,0.44,0.53,0.74,0.59,0.47,0.97,0.94,0.87,0.65,0.59,0.58,0.74,0.52,0.47,0.66,0.56
google-web-toolkit.csv,0.71,0.83,0.84,0.6,0.54,0.59,0.43,0.48,1.03,0.67,0.96,0.61,0.52,0.63,0.88,0.57,0.46,0.48,0.46
gzigzag.csv,0.44,0.96,0.69,0.84,0.74,0.6,0.8,0.72,1.21,0.68,0.72,0.81,0.89,0.74,0.87,0.92,0.79,0.81,0.8
irrlicht.csv,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.63,1.0,1.0,0.97,1.0,1.0,0.96,1.0
mimosa.csv,0.9,0.77,0.83,0.59,0.83,0.88,0.86,0.74,1.0,0.94,0.28,0.66,0.71,0.9,0.9,0.91,0.91,0.83,0.93
mptvseries.csv,0.45,0.61,0.96,0.57,0.57,0.7,0.35,0.54,1.05,0.84,0.67,0.75,0.44,0.64,0.78,0.79,0.6,0.83,0.57
ogre.csv,0.93,0.74,0.81,0.65,0.98,0.86,0.99,1.07,0.06,0.85,0.42,0.87,0.78,0.97,0.86,0.95,0.81,0.75,0.77
openfrag.csv,0.83,0.72,0.84,0.63,0.52,0.69,0.37,0.46,1.33,0.92,0.79,0.57,0.4,0.48,0.72,0.35,0.43,0.68,0.64
qdvdauthor.csv,0.7,0.91,1.03,0.88,0.65,0.7,0.57,0.66,1.17,0.94,0.64,0.75,1.0,0.53,0.93,0.71,0.43,0.73,0.45
qse.csv,0.68,0.87,0.72,0.75,0.52,0.75,0.49,0.67,0.86,0.6,0.92,0.7,0.3,0.54,0.55,0.68,0.69,0.8,0.68
sauerbraten.csv,0.36,0.9,0.84,0.98,0.91,0.7,0.88,0.89,1.0,1.0,0.66,0.98,1.0,0.92,0.82,1.0,0.64,0.75,0.89
toped.csv,0.79,0.82,0.9,0.81,0.82,0.92,0.71,0.2,1.08,0.76,1.0,0.81,0.81,0.78,0.64,0.65,0.5,0.77,0.62
truevision.csv,0.67,0.76,0.79,0.65,0.67,0.72,0.57,0.43,0.93,0.73,1.0,0.66,0.24,0.4,0.47,0.41,0.52,0.73,0.59
zoolib.csv,0.59,0.84,0.7,0.58,0.5,0.69,0.47,0.51,0.98,0.59,0.66,0.64,0.86,0.62,0.41,0.74,0.57,0.67,0.8
