,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,ogre.csv,autat.csv,mimosa.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,google-web-toolkit.csv,qdvdauthor.csv
auber.csv,0.78,0.24,0.56,0.73,0.45,0.44,0.52,0.89,0.59,0.31,0.64,0.77,0.63,0.59,0.11,0.64,0.79,0.68,0.75
autat.csv,0.78,0.15,0.33,0.6,0.37,0.38,0.59,0.64,0.12,0.47,0.26,0.57,0.63,0.32,0.16,0.41,0.59,0.5,0.61
brlcad.csv,0.75,0.5,0.55,0.1,0.17,0.28,0.48,0.39,0.15,0.34,0.0,0.5,0.43,0.18,0.26,0.31,0.38,0.35,0.12
delphilhlplib.csv,0.76,0.52,0.87,0.54,0.51,0.39,0.65,0.69,0.24,0.37,0.68,0.64,0.57,0.55,0.31,0.59,0.62,0.57,0.59
exordium.csv,0.71,0.36,0.62,0.51,0.67,0.45,0.29,0.72,0.09,0.34,0.48,0.4,0.11,0.35,0.27,0.43,0.37,0.47,0.21
fltk.csv,0.77,0.25,0.6,0.7,0.46,0.36,0.5,0.72,0.29,0.32,0.62,0.65,0.63,0.51,0.26,0.63,0.67,0.64,0.68
google-web-toolkit.csv,0.78,0.21,0.7,0.71,0.47,0.4,0.63,0.68,0.17,0.36,0.62,0.6,0.62,0.45,0.1,0.58,0.67,0.72,0.71
gzigzag.csv,0.71,0.08,0.47,0.27,0.4,0.39,0.3,0.46,0.1,0.29,0.42,0.32,0.21,0.39,0.14,0.14,0.33,0.35,0.33
irrlicht.csv,0.76,0.0,0.85,0.73,0.4,0.38,0.55,0.92,0.0,0.32,0.64,0.76,0.6,0.52,0.16,0.71,0.71,0.07,0.81
mimosa.csv,0.68,0.45,0.87,0.56,0.36,0.4,0.44,0.63,0.95,0.33,0.79,0.67,0.54,0.49,0.17,0.55,0.71,0.64,0.69
mptvseries.csv,0.75,0.41,0.07,0.58,0.45,0.36,0.7,0.63,0.15,0.18,0.52,0.41,0.67,0.47,0.24,0.34,0.55,0.29,0.59
ogre.csv,0.13,0.29,0.68,0.59,0.24,0.38,0.31,0.68,0.97,0.23,0.68,0.67,0.4,0.5,0.16,0.51,0.64,0.6,0.66
openfrag.csv,0.8,0.36,0.83,0.71,0.51,0.38,0.68,0.9,0.23,0.3,0.7,0.78,0.74,0.59,0.21,0.76,0.72,0.72,0.64
qdvdauthor.csv,0.44,0.37,0.25,0.62,0.38,0.32,0.62,0.74,0.55,0.17,0.57,0.69,0.6,0.53,0.06,0.64,0.72,0.45,0.78
qse.csv,0.7,0.19,0.63,0.72,0.48,0.39,0.58,0.91,0.25,0.37,0.54,0.71,0.76,0.52,0.21,0.48,0.51,0.6,0.53
sauerbraten.csv,0.78,0.39,0.62,0.72,0.43,0.42,0.54,0.92,0.96,0.19,0.67,0.85,0.6,0.53,0.15,0.7,0.76,0.64,0.82
toped.csv,0.8,0.24,0.78,0.67,0.43,0.35,0.55,0.89,0.73,0.33,0.61,0.74,0.61,0.31,0.17,0.64,0.72,0.69,0.76
truevision.csv,0.8,0.27,0.71,0.76,0.47,0.34,0.62,0.81,0.36,0.35,0.64,0.79,0.81,0.64,0.28,0.72,0.65,0.69,0.69
zoolib.csv,0.8,0.25,0.71,0.57,0.48,0.36,0.67,0.73,0.27,0.35,0.47,0.56,0.24,0.46,0.31,0.4,0.6,0.51,0.48
