,dvd-create.csv,phonon-vlc-mplayer.csv,tktoolkit.csv,mpgravity.csv,myfaces.csv,empserver.csv,ppcboot.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,echongl.csv,ultimairis.csv,gdis.csv,gmerlin.csv,passwordsafe.csv,growl-for-windows.csv,sandiaportals.csv,nativeclient.csv,wikipediardware.csv
amateur-scrolls.csv,0.0,0.72,0.15,1.0,0.09,0.0,0.0,0.17,0.47,0.83,0.62,1.0,0.38,0.68,1.0,0.9,0.73,0.0
dvd-create.csv,0.94,0.35,0.13,0.0,0.18,0.47,0.53,0.19,0.36,0.72,0.31,0.89,0.34,0.58,0.56,0.8,0.69,0.74
echongl.csv,0.89,0.34,0.16,0.26,0.12,0.48,0.57,0.33,0.22,0.92,0.36,0.91,0.28,0.46,0.78,0.83,0.72,0.89
empserver.csv,0.97,0.27,0.15,0.21,0.11,0.71,0.59,0.1,0.36,0.73,0.29,0.88,0.36,0.41,0.71,0.79,0.68,1.0
gdis.csv,0.88,0.37,0.12,0.21,0.19,0.5,0.72,0.17,0.39,0.78,0.48,0.98,0.29,0.54,0.5,0.78,0.64,0.79
gmerlin.csv,0.87,0.0,0.0,0.0,0.31,0.48,0.55,0.17,0.38,0.5,0.34,0.96,0.45,0.71,0.61,0.78,0.5,0.75
growl-for-windows.csv,1.0,0.0,0.0,0.0,0.17,0.5,0.0,0.15,0.38,0.0,0.52,1.0,0.0,1.0,0.93,0.86,0.0,0.76
mpgravity.csv,0.81,0.41,0.16,0.47,0.14,0.54,0.53,0.16,0.34,0.7,0.33,0.89,0.32,0.42,0.73,0.79,0.7,0.76
myfaces.csv,0.83,0.43,0.14,0.37,0.37,0.51,0.5,0.5,0.5,0.83,0.52,0.92,0.38,0.54,0.55,0.83,0.77,0.95
nativeclient.csv,0.97,0.4,0.13,0.29,0.19,0.55,0.55,0.12,0.39,0.81,0.38,0.91,0.36,0.47,0.59,0.89,0.78,0.9
passwordsafe.csv,0.88,0.55,0.18,0.5,0.19,0.56,0.74,0.17,0.37,0.71,0.47,0.91,0.32,0.6,0.73,0.81,0.72,0.82
phonon-vlc-mplayer.csv,0.86,0.63,0.13,0.75,0.16,0.67,0.64,0.33,0.44,0.74,0.52,0.91,0.29,0.7,0.91,1.0,0.76,0.81
ppcboot.csv,0.82,0.29,0.14,0.23,0.14,0.55,0.71,0.17,0.31,0.72,0.37,0.82,0.33,0.38,0.63,0.79,0.6,0.75
rtrt-on-gpu.csv,0.7,0.1,0.12,0.23,0.13,0.51,0.48,0.44,0.22,0.78,0.36,0.82,0.3,0.3,0.59,0.67,0.58,0.75
sandiaportals.csv,0.79,0.61,0.19,1.0,0.14,0.59,0.71,0.11,0.43,0.71,0.4,0.9,0.33,0.6,0.88,0.93,0.73,0.79
tktoolkit.csv,0.92,0.27,0.41,0.21,0.17,0.52,0.6,0.18,0.3,0.7,0.48,0.81,0.38,0.42,0.61,0.81,0.62,0.64
ultimairis.csv,0.82,0.6,0.13,0.57,0.15,0.52,0.54,0.4,0.5,0.8,0.62,0.83,0.32,0.55,0.8,1.0,0.64,0.75
wikipediardware.csv,0.85,0.27,0.14,0.27,0.18,0.51,0.53,0.19,0.34,0.71,0.3,0.91,0.35,0.39,0.58,0.86,0.61,0.89
