,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.83,0.82,0.83,0.84,0.78,0.72,0.62,0.81,0.84,0.03
geotools.csv,0.94,0.65,0.7,1.0,0.96,0.93,0.05,0.78,0.96,0.84
gephex.csv,0.78,0.72,0.63,0.82,0.69,0.61,0.56,0.03,0.71,0.8
haggle.csv,0.89,0.03,0.74,1.0,0.6,0.8,0.81,0.81,0.86,1.0
java-gnome.csv,0.73,0.71,0.43,0.06,0.67,0.68,0.57,0.78,0.72,0.55
jgnash.csv,0.98,0.74,0.12,0.84,0.79,0.55,0.75,0.85,0.94,0.98
jrdf.csv,0.96,0.84,0.58,0.49,0.76,0.07,0.6,0.78,0.87,0.69
mpqc.csv,0.15,0.67,0.96,0.89,0.79,0.96,0.87,0.83,0.84,0.41
panda3d.csv,1.02,0.89,0.82,0.75,0.07,1.0,0.86,0.89,0.9,0.9
tencompetence.csv,0.7,0.79,0.72,0.57,0.7,0.86,0.87,0.92,0.04,1.05
