,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.26,0.75,0.27,0.79,0.47,0.35,0.46,0.78,0.55,0.98
geotools.csv,0.08,0.55,0.3,0.03,0.07,0.11,0.98,0.41,0.09,0.29
gephex.csv,0.28,0.68,0.27,0.85,0.48,0.36,0.5,0.99,0.55,0.57
haggle.csv,0.14,0.99,0.25,0.17,0.48,0.26,0.25,0.48,0.31,0.0
java-gnome.csv,0.25,0.53,0.41,0.99,0.47,0.36,0.46,0.35,0.48,0.62
jgnash.csv,0.04,0.43,0.94,0.27,0.29,0.45,0.32,0.25,0.11,0.06
jrdf.csv,0.05,0.39,0.32,0.83,0.32,0.97,0.43,0.35,0.24,0.55
mpqc.csv,0.92,0.57,0.07,0.3,0.31,0.1,0.22,0.67,0.53,0.8
panda3d.csv,0.03,0.2,0.18,0.39,0.95,0.0,0.2,0.21,0.18,0.19
tencompetence.csv,0.26,0.41,0.23,0.72,0.36,0.3,0.31,0.15,0.99,0.17
