,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.8,0.86,0.88,0.81,0.83,0.8,0.72,0.93,0.52,0.97
geotools.csv,0.1,0.45,0.32,0.02,0.04,0.07,0.95,0.31,0.05,0.19
gephex.csv,0.85,0.7,0.6,0.91,0.77,0.67,0.74,0.99,0.48,0.53
haggle.csv,0.3,0.97,0.28,0.11,0.67,0.53,0.24,0.42,0.22,0.0
java-gnome.csv,0.65,0.45,0.68,1.0,0.71,0.33,0.53,0.23,0.37,0.5
jgnash.csv,0.05,0.31,0.88,0.16,0.23,0.47,0.26,0.15,0.06,0.03
jrdf.csv,0.05,0.31,0.48,0.79,0.38,0.93,0.47,0.23,0.15,0.47
mpqc.csv,0.85,0.5,0.12,0.19,0.38,0.13,0.27,0.73,0.49,0.8
panda3d.csv,0.05,0.12,0.2,0.25,0.94,0.0,0.16,0.13,0.1,0.11
tencompetence.csv,0.35,0.31,0.56,0.63,0.35,0.73,0.52,0.08,0.99,0.12
