,qtractor.csv,quarkplayer.csv,open-data-kit.csv,turbotrader-bos.csv,ng4j.csv
ng4j.csv,0.75,0.91,0.5,0.71,0.75
open-data-kit.csv,0.79,0.91,0.76,0.95,0.95
qtractor.csv,0.79,0.82,0.49,0.76,0.6
quarkplayer.csv,0.07,0.64,0.22,0.39,0.0
turbotrader-bos.csv,0.32,0.27,0.17,0.71,0.35
