,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,mplayer-ce.csv,biopax.csv,crux-framework.csv,xamj.csv,ng4j.csv,jmule.csv
alsa.csv,0.61,0.46,0.53,0.4,0.56,0.76,1.0,0.93,0.79,0.61,0.64,0.57,0.56,0.56,1.0,0.27,0.8,1.0,0.4,0.63
arcallians.csv,0.68,0.61,0.66,0.36,0.39,0.99,0.99,0.6,0.67,0.59,0.56,0.74,0.74,0.65,0.63,0.85,0.85,0.51,0.51,0.84
arianne.csv,0.4,0.92,1.0,0.87,1.0,0.61,0.97,1.0,0.74,0.95,1.0,1.0,0.97,0.94,0.99,0.72,0.98,0.79,0.83,0.71
aztec.csv,0.81,0.62,0.83,0.67,0.55,0.32,0.73,0.5,0.67,0.63,0.51,0.62,0.82,0.6,0.82,0.79,0.52,0.46,0.5,0.59
biopax.csv,0.95,0.79,1.0,0.93,0.83,0.8,1.0,1.0,1.0,0.71,0.93,0.76,1.0,0.98,1.0,0.18,1.0,0.97,0.9,0.87
bl-toolkit.csv,0.78,0.98,0.36,0.93,1.0,0.95,0.58,1.0,0.74,1.0,1.0,1.0,0.82,0.83,1.0,0.92,0.57,0.6,1.0,0.84
clamav.csv,0.62,0.53,0.65,0.72,0.75,0.92,0.85,0.75,0.58,0.39,0.68,0.69,0.55,0.67,0.63,0.73,0.8,0.54,0.75,0.79
crux-framework.csv,0.75,0.84,0.88,0.88,0.8,0.9,0.88,0.65,0.83,0.78,0.78,0.7,0.8,0.73,0.79,0.96,0.12,0.8,0.88,0.72
gnupdate.csv,0.61,0.84,0.84,0.46,0.81,0.95,0.75,0.82,0.75,0.71,0.26,0.67,0.72,0.67,0.89,0.67,0.52,0.59,0.66,1.0
jmule.csv,0.57,0.7,0.42,0.28,0.56,0.45,0.85,1.0,0.76,0.53,0.46,0.57,0.54,0.58,1.0,0.45,0.83,0.7,0.37,0.19
mbse.csv,0.72,0.72,0.92,0.97,0.84,1.02,0.57,0.41,0.7,0.76,0.68,0.57,0.59,0.69,0.69,0.8,0.64,0.47,0.71,0.86
mplayer-ce.csv,0.58,0.58,0.53,0.75,0.72,0.78,0.9,0.64,0.83,0.8,0.63,0.56,0.64,0.71,0.56,0.49,0.87,0.96,0.61,0.61
ng4j.csv,0.71,0.56,0.57,0.24,0.54,0.96,0.99,0.63,0.6,0.8,0.32,0.67,0.53,0.54,0.68,0.55,0.4,0.56,0.25,0.39
ns-3-dev-def-routing.csv,0.66,0.75,0.67,0.36,0.47,0.61,0.8,0.99,0.86,0.64,0.74,0.68,0.73,0.51,0.88,0.5,0.83,0.82,0.8,1.0
openxava.csv,0.69,0.65,0.92,0.98,0.81,0.81,0.42,0.9,0.62,0.49,0.86,0.68,0.63,0.75,0.81,0.88,0.47,0.76,0.6,0.8
phonon-vlc-mplayer.csv,0.74,0.52,0.39,0.27,0.59,0.96,0.98,0.53,0.5,0.7,0.4,0.65,0.52,0.54,0.63,0.51,0.6,0.54,0.58,1.0
qgis.csv,0.7,0.46,0.78,0.44,0.63,1.0,0.96,1.0,0.57,0.8,1.0,1.0,0.73,0.58,1.0,0.31,0.61,0.71,0.59,1.0
vars-redux.csv,0.62,0.55,0.66,0.7,0.68,0.86,0.5,0.96,0.44,0.68,0.79,0.63,0.55,0.58,0.83,0.66,0.7,0.49,0.55,0.54
xamj.csv,0.66,0.64,0.57,0.88,0.55,0.81,0.66,0.69,0.55,0.58,0.95,0.68,0.56,0.75,0.7,0.71,0.57,0.38,0.73,0.73
yafdotnet.csv,0.61,0.54,0.75,0.72,0.69,0.85,0.53,0.97,0.75,0.9,0.62,0.65,0.4,0.62,0.7,0.67,0.85,0.47,0.82,0.87
