,opennms.csv,phet.csv,e-bio-flow.csv,aten.csv,runuomondains.csv,exl.csv
e-bio-flow.csv,0.21,0.21,0.97,0.33,0.24,0.35
exl.csv,0.44,0.33,0.3,0.64,0.18,1.0
opennms.csv,0.96,0.04,0.29,0.49,0.15,0.33
phet.csv,0.26,0.96,0.44,0.3,0.12,0.0
runuomondains.csv,0.0,0.1,0.12,0.12,1.0,0.31
