,wgs-assembler.csv,nh3d.csv,jvcl.csv,blogentis.csv,m-m-m.csv,htmlunit.csv,emulemorph.csv
blogentis.csv,0.04,0.78,0.47,0.93,0.21,0.55,0.53
emulemorph.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.72
htmlunit.csv,0.44,0.0,0.6,0.25,0.19,0.95,0.37
jvcl.csv,0.0,0.0,1.0,0.2,0.12,0.06,0.0
m-m-m.csv,0.46,0.46,0.45,0.4,1.0,0.39,0.2
nh3d.csv,0.0,1.0,0.0,0.0,0.0,0.0,0.0
wgs-assembler.csv,1.0,0.29,0.28,0.1,0.34,0.26,0.37
