,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,continuum-ide.csv,mia.csv,ontopia.csv,runuomondains.csv,somap.csv,fleet-simulator.csv,tigermud.csv,hydrate.csv
algebsql.csv,0.41,0.54,0.51,0.53,0.78,0.82,0.85,0.35,0.33,0.13,0.88,0.04,0.04,0.11,0.7
continuum-ide.csv,0.32,0.25,0.15,0.0,0.11,0.04,0.0,0.82,0.06,0.33,0.62,0.14,0.07,0.11,0.73
fleet-simulator.csv,0.89,0.76,0.85,0.7,0.96,1.0,0.73,1.0,0.78,0.95,1.0,0.78,0.96,0.51,0.97
hydrate.csv,0.07,0.23,0.28,0.0,0.15,0.0,0.0,0.35,0.11,0.16,1.0,0.07,0.37,0.09,0.67
ivef-sdk.csv,0.86,0.61,0.67,1.0,0.67,1.0,0.24,0.47,0.17,0.59,0.0,0.53,0.0,0.11,0.03
jmri.csv,0.34,0.17,0.68,0.07,0.15,0.55,0.61,0.76,0.17,0.16,0.62,0.38,0.04,0.14,0.24
kdenlive.csv,0.75,0.65,0.49,0.57,0.7,0.45,0.61,0.94,1.0,0.41,1.0,0.46,0.83,0.51,1.0
mia.csv,0.08,0.16,0.15,0.13,0.26,0.45,0.0,0.24,0.61,0.28,0.5,0.24,0.43,0.0,0.21
ontopia.csv,0.89,0.95,0.5,0.8,0.22,0.57,0.27,0.24,0.67,0.8,0.5,0.39,0.67,0.4,0.7
opentibia.csv,0.32,0.72,0.38,0.4,0.56,0.04,0.94,0.29,0.06,0.32,0.38,0.22,0.57,0.86,0.73
runuomondains.csv,0.52,0.46,0.71,0.2,0.22,0.15,0.45,0.53,0.39,0.5,0.88,0.36,0.46,0.2,0.45
somap.csv,0.92,0.88,0.76,0.93,1.0,0.6,0.91,1.0,0.89,0.75,0.88,0.83,1.0,1.0,1.0
taverna.csv,0.18,0.16,0.1,0.17,0.78,0.1,0.67,0.0,0.5,0.38,0.12,0.11,0.3,0.09,0.03
tigermud.csv,0.38,0.46,0.66,0.6,0.52,0.0,0.06,0.71,0.5,0.47,0.25,0.5,0.46,0.74,0.79
x-ray-mule.csv,0.28,0.2,0.2,0.87,0.59,0.0,0.12,0.18,0.06,0.5,0.0,0.54,0.28,0.26,0.0
