,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,0.32,0.78,0.4,0.28
columba.csv,0.7,0.26,0.66,0.67
decidr.csv,0.43,0.43,0.74,0.7
jajuk.csv,0.78,0.65,0.4,0.09
