,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,0.33,0.66,0.5,0.2
columba.csv,0.7,0.18,0.69,0.58
decidr.csv,0.6,0.42,0.76,0.53
jajuk.csv,0.78,0.45,0.71,0.46
