,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.68,0.88,0.66,0.86,0.77,0.29,1.0,0.05,0.67,0.67
fritzing.csv,0.39,0.49,0.04,0.59,0.48,0.71,0.83,0.58,0.73,0.61
jlinalg.csv,0.07,0.82,0.79,0.84,0.42,0.67,0.99,0.79,0.69,0.77
knowledge.csv,0.58,0.81,0.79,0.99,0.0,0.77,0.98,0.81,1.0,0.74
massiv.csv,1.0,1.0,0.99,1.0,1.0,0.0,1.0,1.0,1.0,0.94
oscarmcmaster.csv,0.88,0.88,0.91,0.97,0.85,0.77,0.9,0.83,0.96,0.06
playerstage.csv,0.7,0.66,0.47,0.05,0.58,0.61,0.78,0.58,0.74,0.61
quarkplusplus.csv,0.46,0.52,0.65,0.55,0.5,0.46,0.85,0.58,0.0,0.63
rtrt-on-gpu.csv,0.97,0.75,0.78,0.82,0.74,0.81,0.0,0.84,0.7,0.9
superwaba.csv,0.6,0.1,0.55,0.48,0.5,0.53,0.68,0.79,0.53,0.72
