,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.1,0.1,0.09,0.07,0.12,0.07,0.1,0.13,0.27,0.02,0.12,0.13
aubit4gl.csv,0.65,0.45,0.59,0.73,0.04,0.67,0.52,0.52,0.77,0.39,0.63,0.72
liferea.csv,0.27,0.27,0.27,0.0,0.31,0.36,0.29,0.18,0.14,0.36,0.17,0.27
moving-pictures.csv,0.49,0.82,0.69,0.18,0.35,0.39,0.0,0.17,0.74,0.52,0.5,0.55
olex2.csv,0.27,0.47,0.21,0.34,0.27,0.36,0.45,0.23,0.32,0.46,0.17,0.0
opensim4opencog.csv,0.08,0.14,0.13,0.02,0.06,0.0,0.06,0.1,0.11,0.16,0.04,0.1
plearn.csv,0.01,0.24,0.19,0.57,0.77,0.22,0.81,0.56,0.31,0.57,0.79,0.58
psrchive.csv,0.03,0.12,0.0,0.0,0.08,0.05,0.06,0.18,0.02,0.05,0.07,0.03
re2c.csv,0.21,0.0,0.36,0.32,0.4,0.39,0.45,0.47,0.16,0.3,0.47,0.42
rebecca-aiml.csv,0.12,0.04,0.16,0.3,0.67,0.14,0.48,0.31,0.0,0.35,0.43,0.15
wxcode.csv,0.07,0.12,0.12,0.05,0.21,0.01,0.06,0.01,0.05,0.07,0.0,0.04
xfce.csv,0.71,0.86,0.61,0.77,0.69,0.8,0.84,0.08,0.89,0.71,0.67,0.79
