,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.87,0.88,0.9,0.75,0.64,0.93,0.88,0.77,0.76,0.93,0.86,0.92
aubit4gl.csv,0.61,0.68,0.62,0.41,0.5,0.6,0.46,0.78,0.5,0.73,0.6,0.51
liferea.csv,0.53,0.47,0.56,0.77,0.64,0.49,0.53,0.43,0.77,0.56,0.65,0.5
moving-pictures.csv,0.46,0.44,0.45,0.89,0.66,0.75,0.52,0.65,0.53,0.61,0.57,0.47
olex2.csv,0.65,0.43,0.84,0.48,0.63,0.54,0.52,0.59,0.67,0.47,0.71,0.54
opensim4opencog.csv,0.96,0.88,0.92,0.5,0.86,0.95,0.8,0.97,0.95,0.96,0.75,0.94
plearn.csv,0.73,0.67,0.67,0.5,0.38,0.83,0.37,0.7,0.59,0.6,0.48,0.46
psrchive.csv,0.93,0.88,0.93,0.0,0.95,0.92,0.67,0.92,0.8,0.9,0.86,0.91
re2c.csv,0.6,0.83,0.54,0.67,0.52,0.89,0.59,0.6,0.71,0.85,0.63,0.58
rebecca-aiml.csv,0.76,0.67,0.88,0.75,0.4,0.96,0.48,0.52,0.66,0.63,0.59,0.65
wxcode.csv,0.96,0.86,0.77,0.5,0.58,0.5,0.75,0.94,0.89,0.9,0.86,0.9
xfce.csv,0.47,0.42,0.52,0.37,0.45,0.45,0.32,0.47,0.47,0.46,0.49,0.41
