,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.75,0.51,0.79,0.93,0.61,0.83,0.83,0.79,0.64,0.2,0.31,0.76
aubit4gl.csv,0.84,0.48,0.73,0.86,0.06,0.85,0.61,0.76,0.81,0.72,0.95,0.84
liferea.csv,0.54,0.88,0.57,0.0,0.82,0.53,0.71,0.53,0.77,0.56,0.46,0.58
moving-pictures.csv,0.59,0.96,0.82,0.94,0.8,0.69,0.04,0.68,0.81,0.7,0.52,0.63
olex2.csv,0.59,0.58,0.81,0.64,0.6,0.6,0.82,0.69,0.74,0.57,0.46,0.07
opensim4opencog.csv,0.8,0.84,0.87,0.92,0.93,0.09,0.9,0.89,0.88,0.95,0.86,0.86
plearn.csv,0.14,0.55,0.53,0.84,0.8,0.77,0.84,0.78,0.32,0.69,0.8,0.65
psrchive.csv,0.83,0.68,0.0,0.92,0.69,0.87,0.97,0.8,0.96,0.87,0.72,0.85
re2c.csv,0.64,0.0,0.46,0.76,0.55,0.83,0.65,0.75,0.29,0.79,0.55,0.69
rebecca-aiml.csv,0.67,0.83,0.66,0.82,0.75,0.84,0.75,0.69,0.02,0.72,0.46,0.59
wxcode.csv,0.78,0.84,0.72,1.0,0.77,1.0,0.93,0.9,0.96,0.97,0.0,0.88
xfce.csv,0.73,0.92,0.63,0.78,0.76,0.81,0.85,0.08,0.93,0.75,0.8,0.83
