,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.34,0.43,0.25,0.12,0.54,0.21,0.28,0.34,0.41,0.84,0.48,0.36
aubit4gl.csv,0.31,0.29,0.24,0.27,0.96,0.15,0.6,0.53,0.42,0.26,0.07,0.47
liferea.csv,0.48,0.1,0.34,1.0,0.32,0.29,0.43,0.63,0.31,0.36,0.33,0.54
moving-pictures.csv,0.47,0.12,0.22,0.09,0.35,0.2,0.98,0.48,0.38,0.28,0.24,0.59
olex2.csv,0.44,0.24,0.18,0.35,0.54,0.25,0.35,0.48,0.32,0.36,0.33,0.97
opensim4opencog.csv,0.29,0.14,0.15,0.13,0.13,0.95,0.18,0.21,0.19,0.08,0.18,0.24
plearn.csv,0.92,0.29,0.4,0.23,0.64,0.18,0.57,0.54,0.68,0.29,0.16,0.59
psrchive.csv,0.27,0.29,1.0,0.14,0.45,0.17,0.06,0.34,0.07,0.2,0.29,0.25
re2c.csv,0.41,1.0,0.39,0.26,0.62,0.13,0.53,0.52,0.71,0.21,0.21,0.46
rebecca-aiml.csv,0.41,0.22,0.32,0.21,0.59,0.16,0.44,0.5,0.99,0.25,0.26,0.54
wxcode.csv,0.32,0.15,0.3,0.0,0.36,0.0,0.12,0.18,0.06,0.05,1.0,0.2
xfce.csv,0.46,0.15,0.33,0.41,0.59,0.23,0.62,0.97,0.38,0.31,0.13,0.55
